gene symbol	gene name	logFC
Tagln	 transgelin 	-11.5095396381707
Lamc3	 laminin gamma 3 	-11.4116722282569
Peg3	 paternally expressed 3 	-11.3741846993603
Fbn2	 fibrillin 2 	-11.2259129781501
Col6a2	 collagen, type VI, alpha 2 	-11.0577128468603
Krt18	 keratin 18 	-10.9657907013869
Hist1h1b	 histone cluster 1, H1b 	-10.962493298044
Bgn	 biglycan 	-10.9509302097046
Gli2	 GLI-Kruppel family member GLI2 	-10.8994118293192
Ntn1	 netrin 1 	-10.8616624206334
Gas6	 growth arrest specific 6 	-10.8451732181222
Podxl	 podocalyxin-like 	-10.6785464846691
Steap4	 STEAP family member 4 	-10.6622164623155
Epha8	 Eph receptor A8 	-10.6465583784542
Slc7a2	 solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 	-10.6366783545329
F2r	 coagulation factor II (thrombin) receptor 	-10.6201819829597
Bdkrb2	 bradykinin receptor, beta 2 	-10.5971168062304
Svep1	 sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 	-10.4507008461573
Wif1	 Wnt inhibitory factor 1 	-10.3859821403013
Ly6e	 lymphocyte antigen 6 complex, locus E 	-10.3803565313497
Fat4	 FAT atypical cadherin 4 	-10.3246800040133
Wscd2	 WSC domain containing 2 	-10.2416763667373
Alpl	 alkaline phosphatase, liver/bone/kidney 	-10.1203674528354
Igfbp6	 insulin-like growth factor binding protein 6 	-10.0441474936766
Cd24a	 CD24a antigen 	-9.83591484421834
Edn2	 endothelin 2 	-9.81923345784738
Pxdn	 peroxidasin 	-9.68688000156675
Atp1b1	 ATPase, Na+/K+ transporting, beta 1 polypeptide 	-9.6841693025618
Twist2	 twist basic helix-loop-helix transcription factor 2 	-9.56756196105723
Clu	 clusterin 	-9.49274896458658
Fam107b	 family with sequence similarity 107, member B 	-9.48841567905432
Myh10	 myosin, heavy polypeptide 10, non-muscle 	-9.48079454159908
Atp10a	 ATPase, class V, type 10A 	-9.42548006912718
Sh3rf2	 SH3 domain containing ring finger 2 	-9.41539376357707
Scx	 scleraxis 	-9.39259026555076
Hist1h4j	 histone cluster 1, H4j 	-9.37302926131221
Bmp7	 bone morphogenetic protein 7 	-9.3205540376561
