gene symbol	gene name	logFC
Tagln	 transgelin 	-12.2648473177714
Krt18	 keratin 18 	-12.0115635926672
Lamc3	 laminin gamma 3 	-11.6892452163086
F2r	 coagulation factor II (thrombin) receptor 	-11.1008921245943
Bgn	 biglycan 	-10.9901905487403
Col6a2	 collagen, type VI, alpha 2 	-10.9591440822478
Atp1b1	 ATPase, Na+/K+ transporting, beta 1 polypeptide 	-10.9522994450336
Igfbp2	 insulin-like growth factor binding protein 2 	-10.8814694554877
Gas6	 growth arrest specific 6 	-10.7026959903566
Podxl	 podocalyxin-like 	-10.644612979998
Fbn2	 fibrillin 2 	-10.5301431271417
Slc7a2	 solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 	-10.48389434104
Parm1	 prostate androgen-regulated mucin-like protein 1 	-10.4231800262214
Bmp7	 bone morphogenetic protein 7 	-10.4015565030489
Pxdn	 peroxidasin 	-10.3839069141005
Ly6e	 lymphocyte antigen 6 complex, locus E 	-10.3595912273661
Ntn1	 netrin 1 	-10.3297185403968
Lgals3	 lectin, galactose binding, soluble 3 	-10.3022867118581
Wscd2	 WSC domain containing 2 	-10.2117929606708
Igfbp6	 insulin-like growth factor binding protein 6 	-10.1468495829071
Nt5e	 5' nucleotidase, ecto 	-10.1212036043713
Htra1	 HtrA serine peptidase 1 	-9.91671784932679
Svep1	 sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 	-9.87418028598742
Ltbp2	 latent transforming growth factor beta binding protein 2 	-9.86301770996069
Hist1h1b	 histone cluster 1, H1b 	-9.81957639437383
Scx	 scleraxis 	-9.78758934441097
Arl4c	 ADP-ribosylation factor-like 4C 	-9.65482502073092
Syt13	 synaptotagmin XIII 	-9.59372668759272
Scara3	 scavenger receptor class A, member 3 	-9.46818680015724
Steap4	 STEAP family member 4 	-9.44849924941458
Cavin3	 caveolae associated 3 	-9.41535158771858
Atp10a	 ATPase, class V, type 10A 	-9.39798059320462
Sh3rf2	 SH3 domain containing ring finger 2 	-9.38387781995964
Lmcd1	 LIM and cysteine-rich domains 1 	-9.36733700434828
Fam107b	 family with sequence similarity 107, member B 	-9.36006331550602
Bdkrb2	 bradykinin receptor, beta 2 	-9.35513382970645
Epha8	 Eph receptor A8 	-9.35337642366404
Inhbb	 inhibin beta-B 	-9.34482298145998
Myh10	 myosin, heavy polypeptide 10, non-muscle 	-9.32740983321608
Sox12	 SRY (sex determining region Y)-box 12 	-9.25469949313283
Cxadr	 coxsackie virus and adenovirus receptor 	-9.23357820014874
Nhsl2	 NHS-like 2 	-9.21587353559948
Alpl	 alkaline phosphatase, liver/bone/kidney 	-9.20513587165791
Clu	 clusterin 	-9.16149759220613
Cd24a	 CD24a antigen 	-9.09965729497691
Them6	 thioesterase superfamily member 6 	-9.09527569149137
Twist2	 twist basic helix-loop-helix transcription factor 2 	-9.06269633050481
Grk3	 G protein-coupled receptor kinase 3 	-9.01548196985587
Prrx2	 paired related homeobox 2 	-8.9945842606046
Mkx	 mohawk homeobox 	-8.96075833854026
Fst	 follistatin 	-8.94512414307886
Gli2	 GLI-Kruppel family member GLI2 	-8.79173460240342
Foxd1	 forkhead box D1 	-8.76729585499298
Foxf2	 forkhead box F2 	-8.76673098139167
Gcnt4	 glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase) 	-8.76212656831235
Peg3	 paternally expressed 3 	-8.7385138871527
Pcdhgc3	 protocadherin gamma subfamily C, 3 	-8.71801746138863
Zeb1	 zinc finger E-box binding homeobox 1 	-8.68824375871578
Lynx1	 Ly6/neurotoxin 1 	-8.65255772652616
Fbn1	 fibrillin 1 	-8.60583366873141
Tnfrsf21	 tumor necrosis factor receptor superfamily, member 21 	-8.59970539745214
Foxa2	 forkhead box A2 	-8.57123041811006
Pcsk6	 proprotein convertase subtilisin/kexin type 6 	-8.56408664027677
Mn1	 meningioma 1 	-8.56050824480916
