gene symbol	gene name	logFC
Rpgrip1	 retinitis pigmentosa GTPase regulator interacting protein 1 	-7.35668094537711
A530013C23Rik	 RIKEN cDNA A530013C23 gene 	-4.88415298744574
Arhgef40	 Rho guanine nucleotide exchange factor (GEF) 40 	-3.82777793006057
Doc2g	 double C2, gamma 	-3.60320988000354
Zfp334	 zinc finger protein 334 	-3.29883581697187
Tbc1d8b	 TBC1 domain family, member 8B 	-3.29221746792571
Csdc2	 cold shock domain containing C2, RNA binding 	-3.15758382432085
Cdh24	 cadherin-like 24 	-3.15458851842724
Cdkl1	 cyclin-dependent kinase-like 1 (CDC2-related kinase) 	-2.59798919437117
Zfp395	 zinc finger protein 395 	-2.02583475464228
Jag1	 jagged 1 	2.05101527298817
Otud1	 OTU domain containing 1 	2.05272382139923
Ctnnal1	 catenin (cadherin associated protein), alpha-like 1 	2.15882597107671
Nbea	 neurobeachin 	2.19801821853105
Aebp1	 AE binding protein 1 	2.22382355691189
Rnf217	 ring finger protein 217 	2.29649189588208
Smpdl3a	 sphingomyelin phosphodiesterase, acid-like 3A 	2.30828474018896
Dnajc22	 DnaJ heat shock protein family (Hsp40) member C22 	2.31273686059067
2310033P09Rik	 RIKEN cDNA 2310033P09 gene 	2.38724118635976
Slc37a1	 solute carrier family 37 (glycerol-3-phosphate transporter), member 1 	2.42157903672065
Itgb4	 integrin beta 4 	2.43106937896779
Ptpru	 protein tyrosine phosphatase, receptor type, U 	2.44417008190223
Scamp5	 secretory carrier membrane protein 5 	2.4630226521297
Hddc2	 HD domain containing 2 	2.52267795068634
Cln8	 ceroid-lipofuscinosis, neuronal 8 	2.54273177362846
Rin3	 Ras and Rab interactor 3 	2.61148676108961
Entpd2	 ectonucleoside triphosphate diphosphohydrolase 2 	2.63472774583836
Lmx1b	 LIM homeobox transcription factor 1 beta 	2.68665514440035
5330417C22Rik	 RIKEN cDNA 5330417C22 gene 	2.68816159634538
Il17ra	 interleukin 17 receptor A 	2.70815453200791
Hid1	 HID1 domain containing 	2.7929147035004
Pou4f1	 POU domain, class 4, transcription factor 1 	2.79605696705195
Mapkapk3	 mitogen-activated protein kinase-activated protein kinase 3 	2.82675054114172
Shc3	 src homology 2 domain-containing transforming protein C3 	2.84004201857164
Dnaic2	 dynein, axonemal, intermediate chain 2 	2.86240279217624
Rtkn	 rhotekin 	2.86275523555356
Magi2	 membrane associated guanylate kinase, WW and PDZ domain containing 2 	2.8739123259357
Pear1	 platelet endothelial aggregation receptor 1 	2.87692260647594
Als2cl	 ALS2 C-terminal like 	2.89466566915012
Ncald	 neurocalcin delta 	2.90964182088115
Usp11	 ubiquitin specific peptidase 11 	2.91002956877636
Mtfp1	 mitochondrial fission process 1 	2.93110954190796
Zfp365	 zinc finger protein 365 	2.99047831744815
Pde5a	 phosphodiesterase 5A, cGMP-specific 	3.05547170933393
Smim20	 small integral membrane protein 20 	3.06195432214455
Lrfn1	 leucine rich repeat and fibronectin type III domain containing 1 	3.10616436065393
Limch1	 LIM and calponin homology domains 1 	3.14127026551959
Pde8b	 phosphodiesterase 8B 	3.18128510985452
Mgll	 monoglyceride lipase 	3.19237400560475
Dok5	 docking protein 5 	3.19382296412091
Abhd15	 abhydrolase domain containing 15 	3.26993199044576
Tgfb2	 transforming growth factor, beta 2 	3.29980112274117
Fam129a	 family with sequence similarity 129, member A 	3.40129697671501
Sec14l2	 SEC14-like lipid binding 2 	3.41298727697782
Mal	 myelin and lymphocyte protein, T cell differentiation protein 	3.5227429272822
Shroom2	 shroom family member 2 	3.55035148951721
Vipr2	 vasoactive intestinal peptide receptor 2 	3.61698415016049
Lrrc4b	 leucine rich repeat containing 4B 	3.70978938019062
Col4a1	 collagen, type IV, alpha 1 	3.72485181343785
Igfbp4	 insulin-like growth factor binding protein 4 	3.76569610234978
Fam212b	 family with sequence similarity 212, member B 	3.7943218323269
Eml5	 echinoderm microtubule associated protein like 5 	3.84166540860333
Camsap3	 calmodulin regulated spectrin-associated protein family, member 3 	3.84251051426973
Chn1	 chimerin 1 	3.85649387137343
Nfatc2	 nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 2 	3.88409172636187
Isyna1	 myo-inositol 1-phosphate synthase A1 	4.02061156719712
Mt2	 metallothionein 2 	4.09809147955555
Fam171b	 family with sequence similarity 171, member B 	4.11039874921033
