ENSEMBL	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000026185	Igfbp5	insulin-like growth factor binding protein 5	-11.943083759535	2.49410854625498	-32.8249354754793	6.82039599664852e-09	1.46844477585488e-05	8.99075628614844
ENSMUSG00000032085	Tagln	transgelin	-11.5095396381707	3.74416677343419	-22.5114908489327	9.21639030028153e-08	1.730945852699e-05	7.75886225647204
ENSMUSG00000026840	Lamc3	laminin gamma 3	-11.4116722282569	2.7607008511825	-17.3805320198041	5.42546281574489e-07	3.48794663794178e-05	6.57425550958234
ENSMUSG00000002265	Peg3	paternally expressed 3	-11.3741846993603	2.72496049910834	-8.2175859478116	7.90859579366653e-05	0.000787653391882734	2.19547990507617
ENSMUSG00000024598	Fbn2	fibrillin 2	-11.2259129781501	2.13181704194264	-18.8979336070025	3.06211257999243e-07	2.7387900508806e-05	6.9637008647705
ENSMUSG00000020241	Col6a2	collagen, type VI, alpha 2	-11.0577128468603	2.82789394466495	-17.9353768572706	4.37788070725228e-07	3.22649808124493e-05	6.72654640866728
ENSMUSG00000023043	Krt18	keratin 18	-10.9657907013869	2.54025630765756	-20.1334135020955	1.98424460020212e-07	2.27748992923199e-05	7.25689762065211
ENSMUSG00000058773	Hist1h1b	histone cluster 1, H1b	-10.962493298044	3.46551680725661	-15.0258097561823	1.46028772565257e-06	5.896587451168e-05	5.82447878425634
ENSMUSG00000031375	Bgn	biglycan	-10.9509302097046	3.5876334176305	-31.8220428068993	8.45436299065192e-09	1.46844477585488e-05	8.92594070989115
ENSMUSG00000048402	Gli2	GLI-Kruppel family member GLI2	-10.8994118293192	2.50066496440267	-25.5446978006264	3.8585646458752e-08	1.51980518106771e-05	8.20316112094444
ENSMUSG00000028364	Tnc	tenascin C	-10.8806859206375	3.55691854058059	-19.5172537459306	2.45540695679868e-07	2.54689360118903e-05	7.13472456233032
ENSMUSG00000020902	Ntn1	netrin 1	-10.8616624206334	1.95588318439503	-25.7815263059593	3.6206045923707e-08	1.51980518106771e-05	8.21748550351549
ENSMUSG00000031451	Gas6	growth arrest specific 6	-10.8451732181222	3.00439754746497	-26.6574047224052	2.87516740164824e-08	1.50760781842992e-05	8.36427553881223
ENSMUSG00000041559	Fmod	fibromodulin	-10.7042036487993	2.9349410383708	-20.5075784620937	1.74879193137442e-07	2.20615616351676e-05	7.34317298403562
ENSMUSG00000025608	Podxl	podocalyxin-like	-10.6785464846691	2.39865439555669	-18.6490746025476	3.35284484092967e-07	2.77671359685618e-05	6.90193207342501
ENSMUSG00000012428	Steap4	STEAP family member 4	-10.6622164623155	1.85380310204873	-11.4471432439661	9.08261320370629e-06	0.000192120593189576	4.25257181266976
ENSMUSG00000028661	Epha8	Eph receptor A8	-10.6465583784542	1.85198862380178	-28.8856673872842	1.65142525535067e-08	1.46844477585488e-05	8.58020217307016
ENSMUSG00000031596	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	-10.6366783545329	1.83166534196249	-13.8318114887324	2.55607944541212e-06	8.28536585048748e-05	5.35008203074418
ENSMUSG00000048376	F2r	coagulation factor II (thrombin) receptor	-10.6201819829597	1.83122098397253	-25.3251408238754	4.09524568541851e-08	1.51980518106771e-05	8.14602046324702
ENSMUSG00000021070	Bdkrb2	bradykinin receptor, beta 2	-10.5971168062304	2.35842193296198	-18.1868096355111	3.98062613662743e-07	3.12979738965448e-05	6.78156401387364
ENSMUSG00000094338	Hist1h2bl	histone cluster 1, H2bl	-10.5479084962583	1.79634551208394	-29.6129941649178	1.39061098109991e-08	1.46844477585488e-05	8.65002191951018
ENSMUSG00000035783	Acta2	actin, alpha 2, smooth muscle, aorta	-10.5329267568498	3.25778436097007	-18.7531560010819	3.22757879980221e-07	2.75578546096098e-05	6.941977892098
ENSMUSG00000028369	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	-10.4507008461573	2.28208017978808	-23.5125209062338	6.83165625214363e-08	1.52165028522671e-05	7.88490615632437
ENSMUSG00000031871	Cdh5	cadherin 5	-10.4459263749957	1.74141171842679	-19.8890588940616	2.15753066446162e-07	2.40235504185304e-05	7.17729515728434
ENSMUSG00000020866	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	-10.4227312061072	1.73987997108098	-25.8463657018072	3.55840959770005e-08	1.51980518106771e-05	8.21029497676952
ENSMUSG00000114279	Hist1h2bm	histone cluster 1, H2bm	-10.4040313283677	3.02411728684318	-17.2984822083214	5.60346988465784e-07	3.49289290352696e-05	6.54718938878849
ENSMUSG00000020218	Wif1	Wnt inhibitory factor 1	-10.3859821403013	2.24836026215206	-24.090627986826	5.77927400611741e-08	1.52165028522671e-05	7.97471914517764
ENSMUSG00000079018	Ly6c1	lymphocyte antigen 6 complex, locus C1	-10.3825780776556	1.73418527444613	-9.90432385239336	2.36241373601486e-05	0.0003326215493785	3.36804208260384
ENSMUSG00000022587	Ly6e	lymphocyte antigen 6 complex, locus E	-10.3803565313497	2.25303664247979	-14.9520240557958	1.50982109470784e-06	6.01349542079343e-05	5.78132746381329
ENSMUSG00000051339	2900026A02Rik	RIKEN cDNA 2900026A02 gene	-10.3247984442727	2.21590931599834	-24.6862812031672	4.88404150168158e-08	1.51980518106771e-05	8.06271012666783
ENSMUSG00000046743	Fat4	FAT atypical cadherin 4	-10.3246800040133	1.67881658279818	-18.1103310173539	4.09693400573863e-07	3.15216301551418e-05	6.74360896349042
ENSMUSG00000030849	Fgfr2	fibroblast growth factor receptor 2	-10.3196899682335	1.6833334772325	-31.9604407476802	8.20423705253234e-09	1.46844477585488e-05	8.85379951531988
ENSMUSG00000044303	Cdkn2a	cyclin-dependent kinase inhibitor 2A	-10.3194056368067	2.21923934933501	-16.8431641204019	6.72106041007849e-07	3.81333135019463e-05	6.40036547376442
ENSMUSG00000046180	4930550L24Rik	RIKEN cDNA 4930550L24 gene	-10.2683228807234	1.66273452170746	-28.6662774284167	1.7407691953058e-08	1.46844477585488e-05	8.54056484503182
ENSMUSG00000063430	Wscd2	WSC domain containing 2	-10.2416763667373	2.16841290140246	-18.1729649171431	4.00139885016447e-07	3.12979738965448e-05	6.77020666510936
ENSMUSG00000032334	Loxl1	lysyl oxidase-like 1	-10.1769832934173	1.61928395539107	-18.6772672612631	3.31837440756147e-07	2.76675753966959e-05	6.88551078795273
ENSMUSG00000067889	Sptbn2	spectrin beta, non-erythrocytic 2	-10.1768609828947	1.61828968294766	-24.8450855282753	4.67287132063576e-08	1.51980518106771e-05	8.06171223937803
ENSMUSG00000075602	Ly6a	lymphocyte antigen 6 complex, locus A	-10.1235106919114	1.600405537658	-11.4076428707173	9.29377549526122e-06	0.000195406513904118	4.22856579779772
ENSMUSG00000028766	Alpl	alkaline phosphatase, liver/bone/kidney	-10.1203674528354	3.91146843790262	-17.3699101973864	5.44813937886325e-07	3.48794663794178e-05	6.63032191496917
ENSMUSG00000074397	Foxr1	forkhead box R1	-10.0909024835081	2.09865559117492	-20.5966165137451	1.69756832659238e-07	2.19636079126194e-05	7.335161574259
ENSMUSG00000001119	Col6a1	collagen, type VI, alpha 1	-10.0500687667811	4.47676908358268	-22.2431363594283	1.00087640929558e-07	1.79506095447435e-05	7.90517879558072
ENSMUSG00000023046	Igfbp6	insulin-like growth factor binding protein 6	-10.0441474936766	2.60387836823397	-16.7513663020565	6.97603771896774e-07	3.91088889010938e-05	6.37701713061397
ENSMUSG00000048126	Col6a3	collagen, type VI, alpha 3	-9.92940580583173	3.34826269986367	-13.5756063343468	2.89941435202696e-06	9.02531856334341e-05	5.26036027270277
