RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_008678	Ncoa2	nuclear receptor coactivator 2	-439	-	chr1	13374521	13374521	+	1.20530328561157e-16	5.59773748287472e-15	-26.7674554484371	3
NM_008678	Ncoa2	nuclear receptor coactivator 2	-445	-	chr1	13374527	13374527	+	5.81455817290111e-14	2.31288539242265e-12	-26.1734632503308	3
NM_008678	Ncoa2	nuclear receptor coactivator 2	-448	-	chr1	13374530	13374530	+	0.000835235900483659	0.00840188394344214	-43.2845479888491	3
NM_001033288	Sbspon	somatomedin B and thrombospondin, type 1 domain containing	276	-	chr1	15892447	15892447	-	8.22973577461891e-07	1.882000706975e-05	-31.3980137509549	3
NM_001033288	Sbspon	somatomedin B and thrombospondin, type 1 domain containing	164	-	chr1	15892559	15892559	-	0.00086844905215494	0.00864250054604567	-40.9860007836711	3
NM_001033288	Sbspon	somatomedin B and thrombospondin, type 1 domain containing	-258	-	chr1	15892979	15892979	+	7.00766807368321e-06	0.000143290136451467	-25.0949050949051	3
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	300	+	chr1	16106180	16106180	-	0.000920490910482571	0.00901738067948825	-29.6551724137931	13
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	306	+	chr1	16106186	16106186	-	0.000214687018707014	0.00298543389140005	-76.8707482993197	13
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	319	+	chr1	16106199	16106199	+	0.000472800200237983	0.00551905865660627	-81.4227335002598	13
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	347	+	chr1	16106227	16106227	-	0.000370367035538975	0.00458447630516872	-67.5654635527247	13
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	366	+	chr1	16106246	16106246	-	0.000148151317904405	0.00220973906692479	-92.2551492223623	13
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	379	+	chr1	16106259	16106259	-	0.000199366710220378	0.0028140865017533	-83.7078651685393	13
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	390	+	chr1	16106270	16106270	+	7.32375683247089e-05	0.00121873915030205	-83.3135308918088	13
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	391	+	chr1	16106271	16106271	-	2.4450719487208e-05	0.000458343790333736	-96.9667500231546	13
