ENSEMBL	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000050335	Lgals3	lectin, galactose binding, soluble 3	-11.5322460267525	1.74041959304054	-18.4861940864148	1.50938125223332e-07	0.000903624943313216	6.36253150615939
ENSMUSG00000002265	Peg3	paternally expressed 3	-10.6310157448783	1.38465671205283	-16.1876311070158	4.01291840209955e-07	0.000903624943313216	5.86036785509485
ENSMUSG00000020674	Pxdn	peroxidasin	-10.4451406608646	1.31215594354811	-14.9549021092093	7.16963872002632e-07	0.000903624943313216	5.53454151587259
ENSMUSG00000030849	Fgfr2	fibroblast growth factor receptor 2	-10.2087981117397	0.697134344951874	-12.5326549213428	2.5899689844343e-06	0.00118750467462453	4.72188130036261
ENSMUSG00000086503	Xist	inactive X specific transcripts	-10.125268647563	1.95868944860809	-15.44310804676	5.66776253410068e-07	0.000903624943313216	5.69437252086995
ENSMUSG00000058773	Hist1h1b	histone cluster 1, H1b	-9.90709489000418	1.98581856631656	-7.01803736199333	0.000147811427740451	0.00528247777635771	1.50929113078544
ENSMUSG00000044303	Cdkn2a	cyclin-dependent kinase inhibitor 2A	-9.80512257915724	1.05781214109994	-13.4318263047728	1.56815457269116e-06	0.000998771903297664	5.05061517342797
ENSMUSG00000031596	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	-9.55605595884891	0.44276650973672	-11.4496862686641	4.96179394362625e-06	0.00136346829217904	4.26170867826028
ENSMUSG00000102918	Pcdhgc3	protocadherin gamma subfamily C, 3	-9.43995815019491	1.85955508559477	-12.2381282693326	3.07473523770811e-06	0.00120161026142199	4.6432038539957
ENSMUSG00000074397	Foxr1	forkhead box R1	-9.34740837435847	0.863640487588292	-14.7117303379924	8.08207485054948e-07	0.000903624943313216	5.44357924381697
ENSMUSG00000026655	Fam107b	family with sequence similarity 107, member B	-9.34352267859064	0.840887792988417	-9.41920339518568	1.97934959618298e-05	0.00203931224571441	3.2170617606247
ENSMUSG00000114279	Hist1h2bm	histone cluster 1, H2bm	-9.31557200632298	1.60975138630982	-8.85210445662087	3.05148153460716e-05	0.00243969404796991	2.87734517102858
ENSMUSG00000095180	Rhox5	reproductive homeobox 5	-9.27329229670512	2.76940718731655	-15.185738867998	6.40977262586948e-07	0.000903624943313216	5.98218396038174
ENSMUSG00000094338	Hist1h2bl	histone cluster 1, H2bl	-9.20371777147684	0.235965070176008	-7.90066031600368	6.66677555259146e-05	0.00332437220793279	2.19893061926493
