ENSEMBL	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000033006	Sox10	SRY (sex determining region Y)-box 10	-11.9097346374619	1.2810326024143	-16.2187200263629	3.24955812297917e-07	0.000753202374489719	5.87458342705409
ENSMUSG00000067276	Capn6	calpain 6	-11.6553573571896	1.1749469997721	-12.2344592136701	2.62867947115885e-06	0.000753202374489719	4.64974399757567
ENSMUSG00000024304	Cdh2	cadherin 2	-11.2700160117982	1.03881342120431	-14.5443277224159	7.32400197222603e-07	0.000753202374489719	5.44251985137974
ENSMUSG00000086503	Xist	inactive X specific transcripts	-11.0378882552349	1.46525574998099	-16.9062545562025	2.38131135605328e-07	0.000753202374489719	6.03543771929616
ENSMUSG00000028972	Car6	carbonic anhydrase 6	-10.4865881494094	1.77862261371607	-16.2053202895325	3.2697100367021e-07	0.000753202374489719	5.87656895133964
ENSMUSG00000005994	Tyrp1	tyrosinase-related protein 1	-10.3044755141571	4.06995717241605	-6.7629599140201	0.000173103558986139	0.00561881088798618	1.37659331941867
ENSMUSG00000048960	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	-10.0953097767359	0.554849541442065	-6.27058570036198	0.000285446425471757	0.00763652516098548	0.882847469971109
ENSMUSG00000027533	Fabp5	fatty acid binding protein 5, epidermal	-9.89459955397718	1.01170588903891	-13.0259756339237	1.65729100076616e-06	0.000753202374489719	4.9566430792757
ENSMUSG00000020598	Nrcam	neuronal cell adhesion molecule	-9.85759319085292	1.24871978455166	-7.81068721140616	6.50245624766442e-05	0.0031389523792892	2.19843313903785
ENSMUSG00000022129	Dct	dopachrome tautomerase	-9.84929249389641	3.92001367341243	-9.88266171433215	1.23863026708754e-05	0.00138318767385601	3.81785193311557
ENSMUSG00000026768	Itga8	integrin alpha 8	-9.70562269413442	0.933724947521473	-8.63082576413784	3.24233388666468e-05	0.00215392107094853	2.78277544422565
ENSMUSG00000025932	Eya1	EYA transcriptional coactivator and phosphatase 1	-9.65401779729622	0.914449177058551	-14.2104028909859	8.70326778337178e-07	0.000753202374489719	5.34838337019474
ENSMUSG00000056124	B4galt6	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	-9.6254908644952	0.393771161677687	-7.09850582530706	0.000124998266229193	0.0044918731799781	1.62789796383032
ENSMUSG00000027692	Tnik	TRAF2 and NCK interacting kinase	-9.57328008112796	0.358049014872497	-15.137071009132	5.44030977898031e-07	0.000753202374489719	5.60991117780159
ENSMUSG00000066842	Hmcn1	hemicentin 1	-9.45356248701642	2.08824260781872	-7.89625238649145	6.03075759635905e-05	0.00303254970522471	2.29975789301445
ENSMUSG00000056966	Gjc3	gap junction protein, gamma 3	-9.40600996514312	0.288766061403922	-16.0154131290504	3.57099701275677e-07	0.000753202374489719	5.83171534504575
ENSMUSG00000026778	Prkcq	protein kinase C, theta	-9.3559198729922	0.234544933947031	-7.21778729399671	0.00011165116530016	0.00417811931751143	1.72628581028757
ENSMUSG00000026147	Col9a1	collagen, type IX, alpha 1	-9.12614159161744	0.698842275749853	-12.6340965274286	2.07561139782623e-06	0.000753202374489719	4.80874025336759
ENSMUSG00000020376	Rnf130	ring finger protein 130	-9.10014008748554	0.693500025501454	-14.2422159546904	8.55998062268675e-07	0.000753202374489719	5.35360712164627
ENSMUSG00000028132	Tmem56	transmembrane protein 56	-9.03939189279056	0.633487633332014	-5.29647112467251	0.000837464078275255	0.0151601934769778	-0.123936873227367
ENSMUSG00000024806	Mlana	melan-A	-8.95354746594867	2.20102981033801	-8.48355608027484	3.65877574323179e-05	0.00230273423187442	2.76583607923487
ENSMUSG00000031626	Sorbs2	sorbin and SH3 domain containing 2	-8.87642129249708	0.0717139365919142	-15.1579354803419	5.38475111815569e-07	0.000753202374489719	5.59642543280026
ENSMUSG00000002107	Celf2	CUGBP, Elav-like family member 2	-8.87173993678796	0.578470312099851	-8.15937062207693	4.80354538254889e-05	0.00272803702863032	2.45283511628671
ENSMUSG00000029167	Ppargc1a	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha	-8.83797078960897	0.587666777861803	-14.4323298550709	7.75711137712267e-07	0.000753202374489719	5.40600533095436
ENSMUSG00000022790	Igsf11	immunoglobulin superfamily, member 11	-8.82616773385508	0.00382862813374611	-6.68077382507726	0.000187819184178809	0.00583545978250755	1.2604097459713
ENSMUSG00000037940	Inpp4b	inositol polyphosphate-4-phosphatase, type II	-8.81912469698903	0.0235574134381489	-9.85077500266351	1.26767284372543e-05	0.00138680138112748	3.51552815382527
ENSMUSG00000074037	Mc1r	melanocortin 1 receptor	-8.80674509206732	1.33481523460287	-11.5820220554839	3.92628611935009e-06	0.000895323720572003	4.40775271385187
ENSMUSG00000005672	Kit	KIT proto-oncogene receptor tyrosine kinase	-8.77937447428508	1.28397913405798	-9.86876831338359	1.25119172265666e-05	0.00138318767385601	3.5488324148018
ENSMUSG00000060429	Sntb1	syntrophin, basic 1	-8.74664963883923	0.0199018446579718	-14.9388561109482	6.00158640027476e-07	0.000753202374489719	5.53181446042433
ENSMUSG00000031517	Gpm6a	glycoprotein m6a	-8.68937372126762	-0.0582625733898682	-6.39897704817088	0.000249874837103022	0.00697242271854714	1.00131081540134
ENSMUSG00000027499	Pkia	protein kinase inhibitor, alpha	-8.67478181278738	-0.0273285416156071	-11.564896247355	3.96893909986876e-06	0.000895323720572003	4.35495741562874
ENSMUSG00000033208	S100b	S100 protein, beta polypeptide, neural	-8.63643627677964	1.05613672120587	-5.28966362755607	0.000844156362539002	0.0152242496167993	-0.131594654761767
ENSMUSG00000028445	Enho	energy homeostasis associated	-8.60842642692287	1.02595202976318	-12.5137459846242	2.22702435654803e-06	0.000753202374489719	4.76331187344743
ENSMUSG00000023960	Enpp5	ectonucleotide pyrophosphatase/phosphodiesterase 5	-8.58445345772623	0.507082863625711	-9.24698107683996	1.99125512306928e-05	0.00164940672407264	3.1705562580109
ENSMUSG00000019846	Lama4	laminin, alpha 4	-8.56222953022387	1.66169301296624	-11.8939286370057	3.23295362979279e-06	0.000811323427960445	4.6097154097362
ENSMUSG00000047216	Cdh19	cadherin 19, type 2	-8.56024968199066	-0.0664408724025655	-13.0271723104829	1.65616824498541e-06	0.000753202374489719	4.92483477215442
ENSMUSG00000039716	Dock3	dedicator of cyto-kinesis 3	-8.5038658640948	0.423624419197123	-8.13364055213102	4.9103146528253e-05	0.00275527391299764	2.4312390637359
ENSMUSG00000031391	L1cam	L1 cell adhesion molecule	-8.47711559564455	0.977708989573035	-12.4514278060232	2.31028202686354e-06	0.000753202374489719	4.73789886509773
ENSMUSG00000027684	Mecom	MDS1 and EVI1 complex locus	-8.4721655234091	-0.14155962571166	-7.3205026847694	0.000101421966147898	0.00403514536745566	1.80342731432142
ENSMUSG00000034842	Art3	ADP-ribosyltransferase 3	-8.31981724408498	0.335908259310452	-6.5485782014178	0.000214494768644428	0.00631853196777375	1.14074926594355
ENSMUSG00000038602	Slc35f1	solute carrier family 35, member F1	-8.30113813858014	0.318450852851288	-5.84665315524205	0.00044925876029348	0.0100815263574426	0.461764410395859
ENSMUSG00000061322	Dnaic1	dynein, axonemal, intermediate chain 1	-8.27950378869475	-0.169030585247687	-13.9800033931884	9.82540781546315e-07	0.000753202374489719	5.22832656516683
ENSMUSG00000003617	Cp	ceruloplasmin	-8.16299395768525	2.1685056867851	-10.4696349918187	8.176162646591e-06	0.00111080779515049	4.05948031079382
ENSMUSG00000024867	Pip5k1b	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta	-8.16226067701867	-0.243608528291606	-10.5244397650755	7.87342859717534e-06	0.00108593326613613	3.85161646044869
ENSMUSG00000031709	Tbc1d9	TBC1 domain family, member 9	-8.15058629669262	0.317470127042693	-12.5197415444486	2.2191938103881e-06	0.000753202374489719	4.74485831084876
ENSMUSG00000050730	Arhgap42	Rho GTPase activating protein 42	-8.01456562370283	0.495137645414906	-10.8679921182104	6.23932835335249e-06	0.00105190459685911	4.04105800930486
ENSMUSG00000015879	Fam184b	family with sequence similarity 184, member B	-8.00749588350664	-0.334502965035241	-7.77574931005887	6.70678535923339e-05	0.0031949889990927	2.15186726345494
ENSMUSG00000022629	Kif21a	kinesin family member 21A	-7.99575042752534	1.45496130304629	-11.1955595699082	5.02837827578554e-06	0.00097094632253235	4.29679358538367
ENSMUSG00000037053	Azgp1	alpha-2-glycoprotein 1, zinc	-7.97133676265181	-0.248352056519103	-9.43490644966681	1.72557574685833e-05	0.00157965010566378	3.26118622216309
ENSMUSG00000024302	Dtna	dystrobrevin alpha	-7.93323464703982	0.490536726194402	-8.75225534759139	2.93863657844329e-05	0.00204857926202388	2.85314674470513
ENSMUSG00000036853	Mcoln3	mucolipin 3	-7.91103045151018	-0.227881914510507	-5.41147630089906	0.000732797513796069	0.0138002257409554	0.00302962705298793
ENSMUSG00000032556	Bfsp2	beaded filament structural protein 2, phakinin	-7.87717654115665	-0.241994214005909	-5.52158284897177	0.00064594930945446	0.0127101058417384	0.121630926547713
ENSMUSG00000031520	Vegfc	vascular endothelial growth factor C	-7.86773557843331	-0.326959814500239	-13.291903504689	1.42758041452551e-06	0.000753202374489719	4.98220558905453
ENSMUSG00000025927	Tfap2b	transcription factor AP-2 beta	-7.77502763798054	-0.40728696300697	-9.84435441485942	1.27361264804554e-05	0.00138680138112748	3.47953533545853
ENSMUSG00000019852	Arfgef3	ARFGEF family member 3	-7.77009204906629	-0.351087669605383	-12.2460927064096	2.61040651065881e-06	0.000753202374489719	4.59936947468093
ENSMUSG00000046598	Bdh1	3-hydroxybutyrate dehydrogenase, type 1	-7.72165019645266	0.0848516744826361	-6.83032093505941	0.000161995198023104	0.00541804724658334	1.38841520089195
ENSMUSG00000025892	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4)	-7.67827007570888	-0.520903726945832	-5.25824011101553	0.000875820215721708	0.0156394924341329	-0.164660567490645
ENSMUSG00000050994	Adgb	androglobin	-7.66964288832635	0.0522814646822011	-6.18802092798826	0.000311273380861507	0.00805934540494027	0.798189935967487
ENSMUSG00000023033	Scn8a	sodium channel, voltage-gated, type VIII, alpha	-7.66096411616836	0.104512780621244	-10.5633800028028	7.66597251140048e-06	0.00108593326613613	3.87392355471189
ENSMUSG00000015222	Map2	microtubule-associated protein 2	-7.64031473844377	0.0624679034025553	-8.13338366839397	4.91139389663364e-05	0.00275527391299764	2.41788232716809
ENSMUSG00000060548	Tnfrsf19	tumor necrosis factor receptor superfamily, member 19	-7.60983041349952	0.308359604579768	-8.39096393995602	3.95110007478027e-05	0.00241433887269907	2.60317448658023
ENSMUSG00000028927	Padi2	peptidyl arginine deiminase, type II	-7.60823625255304	-0.356553990772245	-6.45930825842649	0.000234881488810206	0.00673574994247407	1.05249534305829
ENSMUSG00000004347	Pde1c	phosphodiesterase 1C	-7.60476518918921	0.136139834624129	-7.57645458370047	8.01855473989106e-05	0.00352300195109697	2.00560897092854
ENSMUSG00000051379	Flrt3	fibronectin leucine rich transmembrane protein 3	-7.59691765600084	0.0928468488358853	-12.1908325108446	2.69849720994695e-06	0.000753202374489719	4.59445241477322
ENSMUSG00000048706	Lurap1l	leucine rich adaptor protein 1-like	-7.55329930090716	-0.447780494847486	-12.5513727344693	2.17839086241628e-06	0.000753202374489719	4.70004130536332
ENSMUSG00000037999	Arap2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	-7.54582679940456	1.35099092103134	-7.8468602977128	6.29819454088784e-05	0.00308256264983495	2.26608823113536
ENSMUSG00000024228	Nudt12	nudix (nucleoside diphosphate linked moiety X)-type motif 12	-7.53825911152685	-0.50473385585482	-9.59589368564438	1.52931151686497e-05	0.00150981655727064	3.33042286571964
ENSMUSG00000027200	Sema6d	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	-7.52480956696145	-0.568148060619333	-5.85239252125218	0.000446442263630788	0.0100394050650638	0.462846391340499
ENSMUSG00000102697	Pcdhac2	protocadherin alpha subfamily C, 2	-7.50249072912547	-0.461928299865764	-12.1613946683112	2.74678562423395e-06	0.000753202374489719	4.54896664763674
ENSMUSG00000022636	Alcam	activated leukocyte cell adhesion molecule	-7.4701554925435	3.06082677577506	-5.56411767073631	0.000615492166617346	0.0123353494872837	0.115602097619041
ENSMUSG00000025321	Itgb8	integrin beta 8	-7.41202593458029	0.256836482146304	-9.4174275041063	1.74853210667979e-05	0.00157965010566378	3.25386905333883
ENSMUSG00000037010	Apln	apelin	-7.37860040737845	0.957578355898053	-6.63758398811732	0.000196105828902972	0.006004238084932	1.23082466229212
ENSMUSG00000019876	Pkib	protein kinase inhibitor beta, cAMP dependent, testis specific	-7.36811105314464	-0.531546040401759	-12.2736254810453	2.56772649254947e-06	0.000753202374489719	4.57968808114412
ENSMUSG00000073987	Ggh	gamma-glutamyl hydrolase	-7.34562543369212	0.514963938294401	-10.656797592224	7.19284209259183e-06	0.00107054734405906	3.92810330316282
ENSMUSG00000030616	Sytl2	synaptotagmin-like 2	-7.33517976251708	1.51612506675334	-11.5385845661028	4.03548841758207e-06	0.000895323720572003	4.53462670472285
ENSMUSG00000040569	Slc26a7	solute carrier family 26, member 7	-7.32670685610964	-0.508414972618921	-9.96206569664826	1.16949665342931e-05	0.00135453004640558	3.53183960729906
ENSMUSG00000035158	Mitf	melanogenesis associated transcription factor	-7.3083071820905	3.46831980263285	-15.472697378741	4.61960790905258e-07	0.000753202374489719	6.58235683797292
ENSMUSG00000060275	Nrg2	neuregulin 2	-7.26470507687816	-0.60068349743778	-10.5428457928378	7.77459448034351e-06	0.00108593326613613	3.81616568299303
ENSMUSG00000022449	Adamts20	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 20	-7.25976794677822	0.449270613378827	-8.09611227438705	5.07082731722238e-05	0.00279912129673459	2.39445942788054
ENSMUSG00000041216	Clvs1	clavesin 1	-7.24076520897953	-0.614982696728018	-10.134320702829	1.03390459116123e-05	0.00126889883806753	3.60786015296797
ENSMUSG00000024065	Ehd3	EH-domain containing 3	-7.21518519361338	0.216252045526981	-8.5299960341001	3.52132602827992e-05	0.00226648193517999	2.69291035010664
ENSMUSG00000038925	E330034G19Rik	RIKEN cDNA E330034G19 gene	-7.20573540271125	-0.128971669033482	-7.23028073952698	0.000110347617737713	0.00417811931751143	1.71914890446522
ENSMUSG00000031748	Gnao1	guanine nucleotide binding protein, alpha O	-7.20410877730712	1.22849579392694	-11.3132202604465	4.65979236409241e-06	0.000937265458566476	4.36873239350212
ENSMUSG00000058317	Ube2e2	ubiquitin-conjugating enzyme E2E 2	-7.19081904437546	-0.551317204411514	-8.86855186215693	2.67733304306145e-05	0.00194839885073447	2.89023131101584
ENSMUSG00000086040	Wipf3	WAS/WASL interacting protein family, member 3	-7.18837746981453	-0.635927344689153	-10.0751377548331	1.07839517510634e-05	0.00129158112238002	3.57373155389115
ENSMUSG00000000296	Tpd52l1	tumor protein D52-like 1	-7.18254196093813	1.22395823755965	-12.9347243667755	1.74548255538949e-06	0.000753202374489719	5.05457266668514
ENSMUSG00000039943	Plcb4	phospholipase C, beta 4	-7.17665350118474	2.06143982053289	-8.75070644668161	2.9423041465334e-05	0.00204857926202388	3.00480148692829
ENSMUSG00000018166	Erbb3	erb-b2 receptor tyrosine kinase 3	-7.15925235262515	3.35757040906183	-11.7692186881671	3.49216621598805e-06	0.000844220062875121	4.98930176277508
ENSMUSG00000002688	Prkd1	protein kinase D1	-7.10661685239403	-0.686047502879444	-8.65098240066888	3.18957783931528e-05	0.00213216527241855	2.73636599884828
ENSMUSG00000020541	Tom1l1	target of myb1-like 1 (chicken)	-7.02139367108165	-0.685871743072074	-11.0140701749978	5.66292072379601e-06	0.00102641460312502	4.02314993135856
ENSMUSG00000028475	Spaar	small regulatory polypeptide of amino acid response	-7.01929985847921	1.37080554775726	-8.64894685676714	3.1948616497364e-05	0.00213216527241855	2.87405879925192
ENSMUSG00000022243	Slc45a2	solute carrier family 45, member 2	-6.98739659302643	2.78353064402661	-12.2177439019828	2.65518686625198e-06	0.000753202374489719	5.13690826101307
ENSMUSG00000036834	Plch1	phospholipase C, eta 1	-6.94722057028916	-0.789712411801904	-6.23661095269178	0.00029577479193669	0.00777634734309555	0.832147772247817
ENSMUSG00000043556	Fbxl7	F-box and leucine-rich repeat protein 7	-6.90803632451838	-0.721019476570998	-11.2237095555376	4.93730336481538e-06	0.000966243612557518	4.10972084208642
ENSMUSG00000015090	Ptgds	prostaglandin D2 synthase (brain)	-6.89427866372982	5.08310376179388	-8.12953233297112	4.92760629378807e-05	0.00275527391299764	2.57340626522524
ENSMUSG00000037016	Frem2	Fras1 related extracellular matrix protein 2	-6.8892113675631	-0.809245063645532	-6.38690781872005	0.000253000001507191	0.00704605004197527	0.97134186118669
ENSMUSG00000028339	Col15a1	collagen, type XV, alpha 1	-6.87329086511221	-0.228757511607317	-9.24391393396604	1.99595566210392e-05	0.00164940672407264	3.12109601467634
ENSMUSG00000000861	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	-6.81493236313993	-0.820603088368571	-7.30844036179882	0.000102567339367789	0.00404049776399894	1.7590225308473
ENSMUSG00000057315	Arhgap24	Rho GTPase activating protein 24	-6.75875277816601	-0.812315136820588	-9.23834190641308	2.00452688466223e-05	0.00164940672407264	3.08220341682607
ENSMUSG00000072568	Fam84b	family with sequence similarity 84, member B	-6.70672459410592	-0.290796706693949	-9.30970464552885	1.89779638221373e-05	0.00162626551522007	3.15266940060386
ENSMUSG00000029673	Auts2	autism susceptibility candidate 2	-6.69039287842636	-0.770553299582226	-9.8232309265747	1.29337569552684e-05	0.00139781095691192	3.4180934236907
ENSMUSG00000022676	Snai2	snail family zinc finger 2	-6.67821735012469	-0.79539182945904	-10.7470480499762	6.76667508522889e-06	0.00105370955466973	3.87798466427571
ENSMUSG00000028358	Zfp618	zinc finger protein 618	-6.66400646990307	-0.722678132599612	-6.09536648176098	0.000343383582287661	0.00848614511721827	0.699468949081796
ENSMUSG00000028328	Tmod1	tropomodulin 1	-6.65884353412572	0.727710608200893	-5.30111890863635	0.000832928498311916	0.0151158778352797	-0.119532463070503
ENSMUSG00000038665	Dgki	diacylglycerol kinase, iota	-6.6541824940379	-0.838525141088667	-10.0626428598764	1.08806032958405e-05	0.00129158112238002	3.53241604368245
ENSMUSG00000051375	Pcdh1	protocadherin 1	-6.64189243530387	-0.201868464229201	-5.5161594272135	0.000649950793956066	0.0127426529740046	0.115052869631483
ENSMUSG00000021356	Irf4	interferon regulatory factor 4	-6.59626848973713	-0.261827246032146	-7.43705857145265	9.10595688586675e-05	0.00378943872474489	1.8777797403286
ENSMUSG00000051910	Sox6	SRY (sex determining region Y)-box 6	-6.57869666419332	2.51598485210297	-13.952646335474	9.96914657926113e-07	0.000753202374489719	5.86492499239872
ENSMUSG00000020014	Cfap54	cilia and flagella associated protein 54	-6.55658943717155	0.688259763663598	-7.72569030024116	7.01215103715049e-05	0.00329416110157867	2.142108797467
ENSMUSG00000056073	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	-6.5400438544528	-0.961468663205124	-5.68724392465024	0.000535903249522527	0.0113133394454595	0.287910929956255
ENSMUSG00000015134	Aldh1a3	aldehyde dehydrogenase family 1, subfamily A3	-6.531758156351	0.213346875916184	-9.78174566868745	1.33319795853122e-05	0.00141479224597884	3.44367783661554
ENSMUSG00000015189	Casd1	CAS1 domain containing 1	-6.51240813183683	-0.39568089845117	-7.51802059180415	8.4557044433285e-05	0.00361019401563625	1.93153428289551
ENSMUSG00000043496	Tril	TLR4 interactor with leucine-rich repeats	-6.50788773475373	-0.923711308321306	-8.22470001855208	4.54392022613711e-05	0.00266417217469302	2.42412778922587
ENSMUSG00000047773	Ankfn1	ankyrin-repeat and fibronectin type III domain containing 1	-6.47603452678669	-0.44634694849649	-5.821948870236	0.000461608245103858	0.010300478591054	0.428743069387303
ENSMUSG00000040653	Ppp1r14c	protein phosphatase 1, regulatory (inhibitor) subunit 14c	-6.46717715974773	0.711836600241395	-8.46245124075394	3.72321493142594e-05	0.00230273423187442	2.68132701385427
ENSMUSG00000025790	Slco3a1	solute carrier organic anion transporter family, member 3a1	-6.43402795523608	-0.453953797330645	-6.20938666210417	0.000304350246429342	0.00794162210592743	0.80707298677791
ENSMUSG00000022788	Fgd4	FYVE, RhoGEF and PH domain containing 4	-6.42823381879557	2.35606793750207	-9.16937841499543	2.1140949065404e-05	0.00172001811441113	3.34425606396859
ENSMUSG00000025333	Gpr143	G protein-coupled receptor 143	-6.42026850150191	-0.871226875762313	-8.97181535729173	2.46696865090312e-05	0.00192660929489792	2.91374666022522
ENSMUSG00000041268	Dmxl2	Dmx-like 2	-6.40094958034661	3.15604382863554	-13.0262081692274	1.65707276255358e-06	0.000753202374489719	5.6209147248388
ENSMUSG00000008206	Cers4	ceramide synthase 4	-6.38259848551335	3.53626570025126	-6.0225239392472	0.000371209078506615	0.00894484172201796	0.580887950302627
ENSMUSG00000028341	Nr4a3	nuclear receptor subfamily 4, group A, member 3	-6.29822179787797	-0.225140430626388	-7.31020994557382	0.000102398410833649	0.00404049776399894	1.76998011039074
ENSMUSG00000039683	Sdk1	sidekick cell adhesion molecule 1	-6.29414256612077	-1.02469590888051	-7.11819958142496	0.000122677188166302	0.00447509077839894	1.58943754833871
ENSMUSG00000021223	Papln	papilin, proteoglycan-like sulfated glycoprotein	-6.28801490167219	1.69385139533591	-8.17558929491948	4.73757825407471e-05	0.00272260350299643	2.57636276466601
ENSMUSG00000044026	Slc35g1	solute carrier family 35, member G1	-6.28358806785036	1.38239156228319	-6.0231281460558	0.000370968249531454	0.00894484172201796	0.64717472681586
ENSMUSG00000067261	Foxd3	forkhead box D3	-6.26944894117146	-1.01721311655189	-8.04882054827588	5.28150696149768e-05	0.00286467355117638	2.29065328124893
ENSMUSG00000062542	Syt9	synaptotagmin IX	-6.25487695330861	-1.00866183914372	-8.8386131434521	2.74202343479163e-05	0.00198549916913262	2.81040841685768
ENSMUSG00000030022	Adamts9	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9	-6.2114797476008	3.24177024954411	-12.7028577475668	1.9943200060374e-06	0.000753202374489719	5.49134766993445
ENSMUSG00000028713	Cyp4b1	cytochrome P450, family 4, subfamily b, polypeptide 1	-6.19273208502635	-1.07781493909675	-6.41765193328599	0.000245123281752596	0.00692130979091764	0.985635342336118
ENSMUSG00000032595	Cdhr4	cadherin-related family member 4	-6.16399002163764	-0.259425870702925	-7.29721139933951	0.000103646545369529	0.00406777579957051	1.75723519547474
ENSMUSG00000040624	Plekhg1	pleckstrin homology domain containing, family G (with RhoGef domain) member 1	-6.14713257022828	-0.544383803690302	-7.22509366676992	0.000110886760172871	0.00417811931751143	1.68927100916348
ENSMUSG00000044345	Marveld1	MARVEL (membrane-associating) domain containing 1	-6.11882514195592	-1.11392938822512	-6.07742729770712	0.000350015285222835	0.00860820971125071	0.667754148197338
ENSMUSG00000054863	Fam19a5	family with sequence similarity 19, member A5	-6.11269744545744	0.667997691195408	-7.72304783835376	7.02869617723938e-05	0.00329416110157867	2.14229326455898
ENSMUSG00000027238	Frmd5	FERM domain containing 5	-6.06531022193993	-1.06642376213434	-9.31216048646153	1.89423843769769e-05	0.00162626551522007	3.08073252250632
ENSMUSG00000006567	Atp7b	ATPase, Cu++ transporting, beta polypeptide	-6.06478505821619	-1.10179455361348	-7.65126752480891	7.4952271912526e-05	0.00338560836912677	1.99409843848646
ENSMUSG00000058571	Gpc6	glypican 6	-6.03745187338975	-1.10278652367749	-8.13751377977476	4.8940741596859e-05	0.00275527391299764	2.34003019941514
ENSMUSG00000022257	Laptm4b	lysosomal-associated protein transmembrane 4B	-6.03259586920144	3.98364552740582	-12.3706348117004	2.42348144173124e-06	0.000753202374489719	5.42920100525447
ENSMUSG00000028337	Coro2a	coronin, actin binding protein 2A	-5.95350244293639	2.91240427314777	-10.709844123407	6.93882206332592e-06	0.00105884573403879	4.39620752899677
ENSMUSG00000039691	Tspan10	tetraspanin 10	-5.93297856903038	-1.10006676995871	-9.32173715818261	1.88043526328318e-05	0.00162626551522007	3.07937230472949
ENSMUSG00000030329	Pianp	PILR alpha associated neural protein	-5.90466000872419	0.857308084358375	-9.38487646247336	1.7922015027664e-05	0.00160213963969525	3.32343954903254
ENSMUSG00000055629	B4galnt4	beta-1,4-N-acetyl-galactosaminyl transferase 4	-5.88504783566407	-1.0976163177939	-8.72969314518568	2.99256993906088e-05	0.00207360755298946	2.72765946528292
