RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_001290372	Rgs20	regulator of G-protein signaling 20	-182	-	chr1	5018915	5018915	+	2.09129674184195e-12	3.66997874723709e-11	34.1002511989039	9
NM_001290372	Rgs20	regulator of G-protein signaling 20	-210	-	chr1	5018943	5018943	+	9.51438541230129e-21	2.38581487448077e-19	53.9473684210526	9
NM_001290372	Rgs20	regulator of G-protein signaling 20	-344	-	chr1	5019077	5019077	+	8.96749262390901e-08	1.20041100511195e-06	29.9489506522972	9
NM_021374	Rgs20	regulator of G-protein signaling 20	-4	-	chr1	5019542	5019542	+	1.61276917412247e-09	2.42025019470768e-08	26.9997847765263	9
NM_021374	Rgs20	regulator of G-protein signaling 20	-12	-	chr1	5019550	5019550	+	0.00145894930143618	0.00795382803721342	43.2853016025861	9
NM_021374	Rgs20	regulator of G-protein signaling 20	-74	-	chr1	5019612	5019612	-	2.26844248666609e-19	5.401315183107e-18	36.2419653077397	9
NM_021374	Rgs20	regulator of G-protein signaling 20	-105	-	chr1	5019643	5019643	-	0.00112492278965406	0.00648092756854626	36.8079584775086	9
NM_021374	Rgs20	regulator of G-protein signaling 20	-121	-	chr1	5019659	5019659	-	1.64459689072218e-16	3.48711758875772e-15	34.2122178545823	9
NM_021374	Rgs20	regulator of G-protein signaling 20	-500	-	chr1	5020038	5020038	-	1.59027414792939e-18	3.65960059854287e-17	28.4423867939913	9
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	451	-	chr1	14309749	14309749	-	6.48264922814246e-99	1.12363828425332e-96	82.0545953803909	13
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	444	-	chr1	14309756	14309756	+	7.9961315510732e-43	4.03086451903037e-41	80.3523608174771	13
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	443	-	chr1	14309757	14309757	-	0.000227306013395663	0.00180277365264722	60.7359514687101	13
