RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	306	+	chr1	16106186	16106186	-	0.000388451701766318	0.00549152406422758	-75.9303094278464	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	310	+	chr1	16106190	16106190	-	0.000319967635042582	0.00473274782814554	-59.8206697263301	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	319	+	chr1	16106199	16106199	+	0.000250269257133361	0.00390201062090474	-82.481866588403	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	347	+	chr1	16106227	16106227	-	0.000459397097796126	0.00623405973884718	-65.6226053639847	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	379	+	chr1	16106259	16106259	-	0.000306251216273331	0.00457670847681754	-83.0599170043925	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	390	+	chr1	16106270	16106270	+	4.83724621269556e-05	0.000978782788870433	-82.4477134727641	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	391	+	chr1	16106271	16106271	-	3.52588651527071e-05	0.000735205593773181	-94.7839046199702	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	403	+	chr1	16106283	16106283	+	9.24860147429316e-05	0.00172727341829001	-90.5594405594406	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	407	+	chr1	16106287	16106287	+	3.39798408660044e-99	1.94400753286831e-96	-64.562850806539	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	410	+	chr1	16106290	16106290	+	4.29912967067543e-05	0.000880106170533716	-95.6173142058714	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	467	+	chr1	16106347	16106347	+	1.22330248498974e-46	1.85682206053594e-44	-76.7232288371201	12
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	468	+	chr1	16106348	16106348	-	0.000834722623028987	0.00968335611341934	-75.1465721040189	12
NM_020604	Jph1	junctophilin 1	140	-	chr1	17097750	17097750	+	7.17635666991381e-08	2.00392698403382e-06	-26.7019604599222	5
NM_020604	Jph1	junctophilin 1	50	-	chr1	17097840	17097840	+	4.25637333478231e-17	2.08815581631997e-15	-26.431718061674	5
NM_020604	Jph1	junctophilin 1	-32	-	chr1	17097920	17097920	+	1.33890695609304e-08	3.95143794567063e-07	-38.4265010351967	5
NM_020604	Jph1	junctophilin 1	-100	-	chr1	17097988	17097988	+	5.598121083011e-14	2.32183590537452e-12	-56.2760992385163	5
NM_020604	Jph1	junctophilin 1	-118	-	chr1	17098006	17098006	+	3.15879485163801e-11	1.11321798166951e-09	-57.1040276748209	5
NM_028829	Paqr8	progestin and adipoQ receptor family member VIII	311	+	chr1	20890931	20890931	-	7.48779258839699e-68	2.03114258667682e-65	-54.383901403769	4
NM_028829	Paqr8	progestin and adipoQ receptor family member VIII	354	+	chr1	20890974	20890974	-	0.000396408817290046	0.00557872748336317	-71.7937179371794	4
NM_028829	Paqr8	progestin and adipoQ receptor family member VIII	360	+	chr1	20890980	20890980	+	6.17417362706012e-05	0.00121624634736015	-71.9910282953761	4
NM_028829	Paqr8	progestin and adipoQ receptor family member VIII	382	+	chr1	20891002	20891002	+	1.42043512271282e-42	1.89974698236676e-40	-31.4849149817525	4
