RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_020604	Jph1	junctophilin 1	-54	-	chr1	17097942	17097942	+	1.72488386302391e-11	1.73202975398676e-09	-45.9090909090909	3
NM_020604	Jph1	junctophilin 1	-56	-	chr1	17097944	17097944	+	2.9744067751922e-08	1.85443456240399e-06	-39.6158085340891	3
NM_020604	Jph1	junctophilin 1	-65	-	chr1	17097953	17097953	-	5.19707575785608e-07	2.62119690319885e-05	-30.7393600497049	3
NM_175642	Adgrb3	adhesion G protein-coupled receptor B3	125	-	chr1	25829583	25829583	-	3.24290462272928e-23	1.21056389292329e-20	-33.6298552118395	5
NM_175642	Adgrb3	adhesion G protein-coupled receptor B3	-248	-	chr1	25829954	25829954	+	8.59971124814828e-06	0.000339963049869898	-26.635145784082	5
NM_175642	Adgrb3	adhesion G protein-coupled receptor B3	-301	-	chr1	25830007	25830007	+	2.0252731911834e-09	1.51048549488474e-07	-39.4916911045943	5
NM_175642	Adgrb3	adhesion G protein-coupled receptor B3	-338	-	chr1	25830044	25830044	+	6.1831732322956e-14	8.56986377723973e-12	-48.9010989010989	5
NM_175642	Adgrb3	adhesion G protein-coupled receptor B3	-397	-	chr1	25830103	25830103	+	3.070554334079e-10	2.58493459788114e-08	-27.4509803921569	5
NM_008719	Npas2	neuronal PAS domain protein 2	-234	+	chr1	39194038	39194038	+	1.8974770780307e-11	1.89344202156065e-09	-33.3576998050682	4
NM_008719	Npas2	neuronal PAS domain protein 2	-94	+	chr1	39194178	39194178	+	1.81176734501804e-10	1.57595776793216e-08	-51.4536849222448	4
NM_008719	Npas2	neuronal PAS domain protein 2	-93	+	chr1	39194179	39194179	-	1.20013900483688e-10	1.06926073986862e-08	-41.2040374909877	4
NM_008719	Npas2	neuronal PAS domain protein 2	-91	+	chr1	39194181	39194181	-	9.43417618288791e-07	4.52700280412899e-05	-30.9163059163059	4
NM_008900	Pou3f3	POU domain, class 3, transcription factor 3	-236	+	chr1	42696910	42696910	+	4.09102246944393e-08	2.48718015760617e-06	-25.9961315280464	3
NM_008900	Pou3f3	POU domain, class 3, transcription factor 3	-215	+	chr1	42696931	42696931	-	2.67601720901514e-11	2.61115369101003e-09	-44.8551448551449	3
NM_008900	Pou3f3	POU domain, class 3, transcription factor 3	140	+	chr1	42697284	42697284	-	6.90324220718769e-19	1.69114886433845e-16	-42.7994380049175	3
NM_053107	Gpr45	G protein-coupled receptor 45	419	+	chr1	42953289	42953289	+	4.11978464642283e-07	2.11871317959162e-05	-25.3036643870573	3
NM_053107	Gpr45	G protein-coupled receptor 45	436	+	chr1	42953306	42953306	-	1.80005672289167e-30	1.25998241600829e-27	-46.8507751937984	3
NM_053107	Gpr45	G protein-coupled receptor 45	463	+	chr1	42953333	42953333	-	1.73662268219914e-34	1.74077919596055e-31	-49.833784900367	3
NM_019790	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2	-467	+	chr1	50927056	50927056	+	7.16267201683491e-10	5.73133797247934e-08	-35.7761286332715	3
NM_019790	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2	-464	+	chr1	50927059	50927059	+	1.47405024487107e-17	3.13580212236421e-15	-49.4743351886209	3
NM_019790	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2	-453	+	chr1	50927070	50927070	+	4.65989576312067e-29	2.86043610778306e-26	-73.8080808080808	3
NM_144953	1700019D03Rik	RIKEN cDNA 1700019D03 gene	498	-	chr1	52952343	52952343	+	5.70752696663536e-07	2.8549568492572e-05	-43.3729326811088	5
NM_144953	1700019D03Rik	RIKEN cDNA 1700019D03 gene	163	-	chr1	52952678	52952678	-	4.52942366906537e-21	1.37938173013589e-18	-40.2057267197468	5
NM_144953	1700019D03Rik	RIKEN cDNA 1700019D03 gene	8	-	chr1	52952833	52952833	+	7.02605254815736e-08	4.11028959193369e-06	-30.3416149068323	5
NM_144953	1700019D03Rik	RIKEN cDNA 1700019D03 gene	0	-	chr1	52952840	52952840	+	3.90399946252473e-07	2.01747723711271e-05	-28.8845905867183	5
NM_144953	1700019D03Rik	RIKEN cDNA 1700019D03 gene	0	-	chr1	52952841	52952841	-	6.7317830703979e-30	4.45422986460197e-27	-52.1899328460213	5
NM_001081050	Pard3b	par-3 family cell polarity regulator beta	-86	+	chr1	61638738	61638738	-	1.60214462414884e-24	6.66705956154207e-22	-41.3339248742975	7
