RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	103	+	chr1	10993566	10993566	+	9.94756345048221e-106	6.79525964994365e-103	81.8474092779648	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	131	+	chr1	10993594	10993594	+	2.66773412522519e-65	7.0608355494291e-63	60.0387542606341	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	140	+	chr1	10993603	10993603	+	0.00054288862082916	0.00612034820759514	41.4565826330532	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	141	+	chr1	10993604	10993604	-	3.00594358140454e-40	3.75703194270616e-38	40.4011461318052	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	164	+	chr1	10993627	10993627	-	0.00094963818350838	0.00922467635931601	25.2278025005298	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	189	+	chr1	10993652	10993652	-	0.00052744473446826	0.00598939530197467	28.854859571323	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	221	+	chr1	10993684	10993684	+	5.04045977125694e-46	7.60493256123901e-44	66.2186379928315	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	241	+	chr1	10993704	10993704	+	9.71571240437206e-44	1.35900291094551e-41	61.2784694807167	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	265	+	chr1	10993728	10993728	+	0.00101841708384706	0.00969060522860832	29.910319565492	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	275	+	chr1	10993738	10993738	-	5.20785640346172e-30	4.47924059919241e-28	36.1216730038023	26
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	285	+	chr1	10993748	10993748	-	0.000780133072038032	0.00799781989506095	27.3076923076923	26
