RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_008678	Ncoa2	nuclear receptor coactivator 2	-407	-	chr1	13374489	13374489	+	0.000190475400196406	0.00225972761561955	-83.9644205923276	7
NM_008678	Ncoa2	nuclear receptor coactivator 2	-437	-	chr1	13374519	13374519	+	5.45624340188379e-127	2.97511261090926e-124	-96.3460376998633	7
NM_008678	Ncoa2	nuclear receptor coactivator 2	-439	-	chr1	13374521	13374521	+	2.04856526413855e-05	0.000334094921329235	-96.782336400818	7
NM_008678	Ncoa2	nuclear receptor coactivator 2	-445	-	chr1	13374527	13374527	+	2.27828209285172e-126	1.22386280930872e-123	-95.9916081248609	7
NM_008678	Ncoa2	nuclear receptor coactivator 2	-448	-	chr1	13374530	13374530	+	6.61516469735153e-121	3.13342912440754e-118	-94.8302469135802	7
NM_008678	Ncoa2	nuclear receptor coactivator 2	-457	-	chr1	13374539	13374539	+	3.58430092759921e-92	8.44166675386819e-90	-91.1312834722194	7
NM_008678	Ncoa2	nuclear receptor coactivator 2	-477	-	chr1	13374559	13374559	-	0.000589823328767584	0.00540250414972309	-83.5087719298246	7
NM_145381	Lactb2	lactamase, beta 2	174	-	chr1	13660336	13660336	+	3.59924133802617e-43	2.7383500636509e-41	-98.5294117647059	35
NM_145381	Lactb2	lactamase, beta 2	158	-	chr1	13660352	13660352	+	2.83122300674092e-36	1.78906578937024e-34	-92.3076923076923	35
NM_145381	Lactb2	lactamase, beta 2	111	-	chr1	13660399	13660399	+	0.000529097001830001	0.00498389568438978	-97.197395679195	35
NM_145381	Lactb2	lactamase, beta 2	109	-	chr1	13660401	13660401	+	1.55704806757586e-101	4.62252310169055e-99	-99.3548387096774	35
NM_145381	Lactb2	lactamase, beta 2	100	-	chr1	13660410	13660410	+	4.66017249939006e-96	1.21068026626896e-93	-96.8996415770609	35
NM_145381	Lactb2	lactamase, beta 2	84	-	chr1	13660426	13660426	+	1.55260574282333e-90	3.52891446518332e-88	-94.7272835536501	35
NM_145381	Lactb2	lactamase, beta 2	83	-	chr1	13660427	13660427	-	1.13672084784246e-05	0.000192855293736742	-97.4569221628045	35
NM_145381	Lactb2	lactamase, beta 2	79	-	chr1	13660431	13660431	+	0.000251174027845276	0.00281346821832558	-94.8645807568637	35
NM_145381	Lactb2	lactamase, beta 2	78	-	chr1	13660432	13660432	-	8.56252490246283e-05	0.00117744351947581	-97.1924417046368	35
NM_145381	Lactb2	lactamase, beta 2	68	-	chr1	13660442	13660442	-	1.09275806835267e-05	0.000185781693729585	-99.3914807302231	35
NM_145381	Lactb2	lactamase, beta 2	44	-	chr1	13660466	13660466	-	0.000161726829669851	0.00198416313000311	-93.045989537925	35
NM_145381	Lactb2	lactamase, beta 2	37	-	chr1	13660473	13660473	-	0.000436403980116252	0.0043048881640473	-93.57748454134	35
NM_145381	Lactb2	lactamase, beta 2	35	-	chr1	13660475	13660475	+	2.53157114867214e-140	1.90793623035323e-137	-99.6774193548387	35
NM_145381	Lactb2	lactamase, beta 2	34	-	chr1	13660476	13660476	-	5.14641077704068e-05	0.000762944457943584	-93.5453144398305	35
NM_145381	Lactb2	lactamase, beta 2	28	-	chr1	13660482	13660482	+	4.28662719320323e-105	1.40462888847911e-102	-87.6524091774799	35
NM_145381	Lactb2	lactamase, beta 2	9	-	chr1	13660501	13660501	+	0.000220188149479601	0.00253491123497528	-93.0829688111242	35
NM_145381	Lactb2	lactamase, beta 2	0	-	chr1	13660508	13660508	+	1.01975036918346e-139	7.60261889027261e-137	-99.6742671009772	35
NM_145381	Lactb2	lactamase, beta 2	-12	-	chr1	13660520	13660520	+	5.77466849540081e-137	3.96360714833979e-134	-99.1249331669934	35
NM_145381	Lactb2	lactamase, beta 2	-13	-	chr1	13660521	13660521	-	8.84397167600478e-138	6.18747616417703e-135	-98.25311942959	35
NM_145381	Lactb2	lactamase, beta 2	-25	-	chr1	13660533	13660533	-	2.75679755536239e-131	1.64327053830876e-128	-96.1823325598398	35
