RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_001290372	Rgs20	regulator of G-protein signaling 20	-123	-	chr1	5018856	5018856	-	2.03327142073353e-06	2.33028975924411e-05	39.037037037037	4
NM_001290372	Rgs20	regulator of G-protein signaling 20	-164	-	chr1	5018897	5018897	+	1.23022713279265e-16	2.38159335673122e-15	55.4237288135593	4
NM_001290372	Rgs20	regulator of G-protein signaling 20	-182	-	chr1	5018915	5018915	+	7.53861931354833e-11	1.12272284414783e-09	34.6370235934664	4
NM_021374	Rgs20	regulator of G-protein signaling 20	-121	-	chr1	5019659	5019659	-	1.44449373175002e-12	2.34592662028542e-11	29.3408516430099	4
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	451	-	chr1	14309749	14309749	-	2.95077130170111e-87	3.50354561624677e-85	78.0642663569493	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	444	-	chr1	14309756	14309756	+	1.61071352118758e-55	9.75859273914206e-54	79.9966295921807	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	443	-	chr1	14309757	14309757	-	2.9927612603823e-86	3.48733501839168e-84	59.3839226883374	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	428	-	chr1	14309772	14309772	+	0.00128126020157015	0.00706710727022437	77.8743315508021	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	427	-	chr1	14309773	14309773	-	0.000271571367884981	0.00201680346899856	82.9263780984092	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	420	-	chr1	14309780	14309780	+	9.75490693648411e-05	0.000854821390630164	85.7380319148936	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	419	-	chr1	14309781	14309781	-	7.85563656422862e-44	3.56960539891286e-42	80.8278867102397	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	418	-	chr1	14309782	14309782	+	0.00053300060778844	0.00349612070727709	79.5907993391791	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	417	-	chr1	14309783	14309783	-	0.000267217638119217	0.00199129601971937	84.0823285836073	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	408	-	chr1	14309792	14309792	+	4.06660751612794e-35	1.46135995240273e-33	62.0244565217391	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	407	-	chr1	14309793	14309793	-	1.4971916688879e-18	3.13289883116376e-17	52.3406862745098	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	403	-	chr1	14309797	14309797	+	0.000618798835490253	0.00394131957319174	65.9622609289617	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	402	-	chr1	14309798	14309798	-	3.70545496903193e-16	7.03632867594587e-15	49.1540293269833	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	393	-	chr1	14309807	14309807	-	0.000324489434546548	0.00233285222556833	88.4734093067426	14
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	275	+	chr1	16106155	16106155	+	0.00127650790564565	0.00704555809307733	30	14
NM_133832	Rdh10	retinol dehydrogenase 10 (all-trans)	276	+	chr1	16106156	16106156	-	0.00149876243175479	0.00801134157490462	29.816473480857	14
