RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	103	+	chr1	10993566	10993566	+	5.3974379885685e-62	1.25724486967227e-59	57.531710516572	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	115	+	chr1	10993578	10993578	+	0.000703932450369433	0.00855769692639165	39.9182590691455	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	146	+	chr1	10993609	10993609	-	1.55812994673033e-35	1.63041316638136e-33	35.2040816326531	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	147	+	chr1	10993610	10993610	+	4.3290296486575e-39	5.14650499545931e-37	39.7422172740119	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	148	+	chr1	10993611	10993611	-	2.85627123098309e-54	5.40359598189281e-52	50.8997429305913	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	157	+	chr1	10993620	10993620	-	6.0033075418511e-105	3.8703551713171e-102	79.3353128092931	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	164	+	chr1	10993627	10993627	-	6.15718719469908e-40	7.54186678663427e-38	40.2433425160698	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	189	+	chr1	10993652	10993652	-	1.62988849401002e-42	2.17807529100236e-40	41.8434959349593	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	221	+	chr1	10993684	10993684	+	8.41232712170488e-45	1.20660412497708e-42	62.5018930789035	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	241	+	chr1	10993704	10993704	+	0.000290905294960426	0.004395677761453	49.1581533686797	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	265	+	chr1	10993728	10993728	+	0.000374281504170432	0.00533668318914899	45.0816174117145	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	275	+	chr1	10993738	10993738	-	2.66164142287408e-68	7.31579050011524e-66	69.4656488549618	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	285	+	chr1	10993748	10993748	-	8.01434471083966e-67	2.12126432663845e-64	68.1647940074906	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	287	+	chr1	10993750	10993750	-	3.72927922280402e-24	2.52097358888485e-22	29.6992481203008	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	295	+	chr1	10993758	10993758	-	3.19273863744893e-49	5.2272770939882e-47	54.4776119402985	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	313	+	chr1	10993776	10993776	-	0.00078383478649052	0.00925544272826407	56.4482650943223	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	320	+	chr1	10993783	10993783	-	2.39121946009895e-21	1.43553821253577e-19	26.2172284644195	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	322	+	chr1	10993785	10993785	+	1.74306309763891e-64	4.32852913206982e-62	84.3881570012223	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	323	+	chr1	10993786	10993786	-	2.29003728822608e-05	0.000495121874075264	95.655002891845	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	335	+	chr1	10993798	10993798	+	0.000786387895756921	0.00927723721956548	78.7946579892889	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	338	+	chr1	10993801	10993801	+	2.34875984621727e-50	3.97436270269021e-48	71.1282051282051	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	344	+	chr1	10993807	10993807	+	5.60510347702265e-46	8.3324995722243e-44	67.0056267371704	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	408	+	chr1	10993871	10993871	-	8.17578495075242e-81	3.09344842530937e-78	86.6279069767442	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	412	+	chr1	10993875	10993875	-	0.000181109978269627	0.00301811553118903	67.8571428571429	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	414	+	chr1	10993877	10993877	-	5.63157253505302e-69	1.57522934191389e-66	79.4117647058823	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	420	+	chr1	10993883	10993883	-	0.00017380273300037	0.00291680183604024	86.1836612999404	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	428	+	chr1	10993891	10993891	-	4.29122316859231e-78	1.5184010275399e-75	85.207100591716	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	446	+	chr1	10993909	10993909	-	1.84243971053695e-86	7.89156061389538e-84	92.3024054982818	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	457	+	chr1	10993920	10993920	-	3.14370722636806e-45	4.56832211692145e-43	45.3531598513011	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	463	+	chr1	10993926	10993926	-	2.98338051820407e-27	2.30226989686694e-25	77.4509803921569	31
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	465	+	chr1	10993928	10993928	-	3.50028473371392e-20	1.99377980319462e-18	62.7450980392157	31
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	408	-	chr1	14309792	14309792	+	1.497131440626e-19	8.28642360988209e-18	36.4130434782609	3
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	407	-	chr1	14309793	14309793	-	1.81682340108975e-13	7.31961060297938e-12	36.875	3
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	402	-	chr1	14309798	14309798	-	7.17877928945777e-14	2.95918630287959e-12	37.9746835443038	3
NM_025303	Stau2	staufen double-stranded RNA binding protein 2	440	-	chr1	16518863	16518863	-	1.39723481848594e-23	9.22899141514017e-22	60.1875901875902	3
NM_025303	Stau2	staufen double-stranded RNA binding protein 2	434	-	chr1	16518869	16518869	-	0.000638412132521444	0.00796439034701364	61.2332286611476	3
NM_025303	Stau2	staufen double-stranded RNA binding protein 2	174	-	chr1	16519129	16519129	+	1.32601405301823e-14	5.68351742297307e-13	26.8774703557312	3
NM_172124	B3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	111	+	chr1	23762035	23762035	+	3.13054608396647e-33	3.03043560403811e-31	34.6547343331909	4
NM_172124	B3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	313	+	chr1	23762237	23762237	+	2.53748453986067e-17	1.25871364890808e-15	25.4907944257959	4
NM_172124	B3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	410	+	chr1	23762334	23762334	-	0.000750177130300049	0.00896295749645846	58.2246466650136	4
NM_172124	B3gat2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)	446	+	chr1	23762370	23762370	-	9.42293327048497e-28	7.42342118629562e-26	46.3376214229457	4
NM_030266	Inpp4a	inositol polyphosphate-4-phosphatase, type I	219	+	chr1	37300055	37300055	+	7.47701100999641e-11	2.5673863447565e-09	25.9259259259259	6
NM_030266	Inpp4a	inositol polyphosphate-4-phosphatase, type I	228	+	chr1	37300064	37300064	+	3.56982330810808e-12	1.33235665357259e-10	28.75	6
NM_030266	Inpp4a	inositol polyphosphate-4-phosphatase, type I	322	+	chr1	37300158	37300158	+	0.000611814547217878	0.00771848624180303	37.8378378378378	6
NM_030266	Inpp4a	inositol polyphosphate-4-phosphatase, type I	332	+	chr1	37300168	37300168	-	3.65078717939344e-17	1.79662289263576e-15	32.7888758323541	6
NM_030266	Inpp4a	inositol polyphosphate-4-phosphatase, type I	345	+	chr1	37300181	37300181	+	8.89480940327202e-21	5.21357590004568e-19	33.5135135135135	6
NM_030266	Inpp4a	inositol polyphosphate-4-phosphatase, type I	346	+	chr1	37300182	37300182	-	4.42724928563561e-17	2.17014158273713e-15	32.6086956521739	6
NM_021342	Kcne4	potassium voltage-gated channel, Isk-related subfamily, gene 4	-90	+	chr1	78816859	78816859	+	0.000235402031901905	0.00371974929990276	70.5337519623234	3
