RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	103	+	chr1	10993566	10993566	+	2.94973482513549e-05	0.000310361986899837	-81.4307851239669	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	115	+	chr1	10993578	10993578	+	0.000755344534188408	0.00473213740341115	-28.8135593220339	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	129	+	chr1	10993592	10993592	+	0.000310258583727265	0.00232202558806157	-46.6628377796284	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	131	+	chr1	10993594	10993594	+	9.10517276584223e-93	1.39401173862175e-90	-58.9996952434536	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	138	+	chr1	10993601	10993601	+	0.0014603586301261	0.007959819298478	-29.0089841685623	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	140	+	chr1	10993603	10993603	+	2.75804423990722e-58	2.03271131783807e-56	-41.0598053654451	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	141	+	chr1	10993604	10993604	-	0.000196723531760563	0.001600785013119	-39.4541764348355	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	157	+	chr1	10993620	10993620	-	0.000757347565652662	0.0047418705180566	-46.1245711835334	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	164	+	chr1	10993627	10993627	-	0.000436972633756551	0.00306108628871074	-25.0760538896132	35
NM_029525	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	189	+	chr1	10993652	10993652	-	0.000430979312239612	0.00302740356000838	-28.125	35
