RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_001290372	Rgs20	regulator of G-protein signaling 20	-42	-	chr1	5018775	5018775	+	9.79065911505894e-10	2.27233784347136e-08	41.8604651162791	3
NM_001290372	Rgs20	regulator of G-protein signaling 20	-177	-	chr1	5018910	5018910	+	8.91291304843171e-09	1.94647878170546e-07	40.0883430295195	3
NM_001290372	Rgs20	regulator of G-protein signaling 20	-182	-	chr1	5018915	5018915	+	0.000400121160291853	0.00402753341981694	78.8065382892969	3
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	451	-	chr1	14309749	14309749	-	4.69105596748106e-80	8.45760652872622e-78	85.3658536585366	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	444	-	chr1	14309756	14309756	+	0.0001420774154078	0.00178722253649121	81.3768918420081	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	443	-	chr1	14309757	14309757	-	6.87388336219364e-68	9.48749878164284e-66	62.3563218390805	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	428	-	chr1	14309772	14309772	+	0.000177962756349291	0.00214118325272306	87.5	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	427	-	chr1	14309773	14309773	-	9.80523926484923e-40	6.81179587569397e-38	89.2156862745098	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	420	-	chr1	14309780	14309780	+	1.22333322721429e-67	1.67812821073832e-65	95.3125	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	419	-	chr1	14309781	14309781	-	1.52056991337671e-38	1.0241089967399e-36	88.2352941176471	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	418	-	chr1	14309782	14309782	+	1.1824619612095e-65	1.55696661593865e-63	93.7984496124031	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	417	-	chr1	14309783	14309783	-	1.37604741325983e-42	1.03155248701334e-40	92.156862745098	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	408	-	chr1	14309792	14309792	+	9.03009551895143e-74	1.42843938750016e-71	98.4375	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	407	-	chr1	14309793	14309793	-	4.73038365878382e-40	3.3149856939866e-38	89.2156862745098	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	403	-	chr1	14309797	14309797	+	9.31266248641188e-72	1.40789244917301e-69	97.65625	14
NM_010164	Eya1	EYA transcriptional coactivator and phosphatase 1	402	-	chr1	14309798	14309798	-	4.44825049209734e-38	2.95512263764852e-36	87.1287128712871	14
