ENSEMBL	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000086503	Xist	inactive X specific transcripts	-11.5881678271476	1.19678032302989	-21.302010430887	9.95552215700567e-07	0.00701476970463336	4.26506995060608
ENSMUSG00000024304	Cdh2	cadherin 2	-11.3449818322525	1.08733049439743	-14.0418397887706	1.07065414332499e-05	0.00792975902612649	3.25049464126879
ENSMUSG00000028972	Car6	carbonic anhydrase 6	-11.068259681344	1.51014718676497	-16.7566343621824	3.92590101983937e-06	0.00792975902612649	3.74446816559205
ENSMUSG00000022129	Dct	dopachrome tautomerase	-10.876101927238	3.48624549746026	-8.20574827468828	0.00021061127234429	0.013610247529451	1.33103110478643
ENSMUSG00000020598	Nrcam	neuronal cell adhesion molecule	-10.738899758392	0.832851238767315	-8.00995041104473	0.000239876930835144	0.0142692783188695	1.11094697989318
ENSMUSG00000025932	Eya1	EYA transcriptional coactivator and phosphatase 1	-10.2000118121252	0.645973750107446	-16.3436700610762	4.52522468288855e-06	0.00792975902612649	3.65875538125862
ENSMUSG00000005672	Kit	KIT proto-oncogene receptor tyrosine kinase	-10.0632129776811	0.592408263622887	-15.5855432035998	5.92819433218971e-06	0.00792975902612649	3.53097274061425
ENSMUSG00000033006	Sox10	SRY (sex determining region Y)-box 10	-9.83818192362418	2.59751967618435	-12.1308026443252	2.44019797160226e-05	0.00875124203981545	2.96768118474541
ENSMUSG00000074037	Mc1r	melanocortin 1 receptor	-9.59244091725562	0.918946688818527	-14.8969485241977	7.66112317839461e-06	0.00792975902612649	3.40626688011997
ENSMUSG00000056966	Gjc3	gap junction protein, gamma 3	-9.43793083219191	0.337283134597049	-17.8712232481234	2.71934340185726e-06	0.00792975902612649	3.85625556152988
ENSMUSG00000028445	Enho	energy homeostasis associated	-9.16672978686099	0.757476602812072	-13.7866841816254	1.1875618072513e-05	0.00792975902612649	3.16998636308474
ENSMUSG00000037940	Inpp4b	inositol polyphosphate-4-phosphatase, type II	-8.85242048074453	0.0720744866312753	-9.66529142838012	8.62699835514955e-05	0.00966165268233134	1.8887797528556
ENSMUSG00000024806	Mlana	melan-A	-8.69616564572098	2.45484132580337	-7.64402573051955	0.000308201416589229	0.0160014254909737	0.975432685403709
ENSMUSG00000047216	Cdh19	cadherin 19, type 2	-8.59324549180233	-0.0179237992094393	-14.0187697437292	1.08065350219939e-05	0.00792975902612649	3.18766100601759
ENSMUSG00000061322	Dnaic1	dynein, axonemal, intermediate chain 1	-8.31240787728175	-0.120513512054561	-15.8049787337834	5.47547327327147e-06	0.00792975902612649	3.50924675147886
ENSMUSG00000046598	Bdh1	3-hydroxybutyrate dehydrogenase, type 1	-8.28191212300037	-0.183623752468469	-7.36399040311413	0.000375963878724896	0.0173167312542473	0.716609917427613
ENSMUSG00000060429	Sntb1	syntrophin, basic 1	-8.25167762083137	0.385411417995329	-13.5157845089584	1.32835256007974e-05	0.00792975902612649	3.08477837023787
ENSMUSG00000022912	Pros1	protein S (alpha)	-8.20641300717408	-0.132946742162401	-11.2835630723779	3.65823135150708e-05	0.00909240327056941	2.46438715095309
ENSMUSG00000024867	Pip5k1b	phosphatidylinositol-4-phosphate 5-kinase, type 1 beta	-8.19457326400623	-0.195091455098479	-10.6978863662921	4.92175417752908e-05	0.00909240327056941	2.26410463671097
ENSMUSG00000031709	Tbc1d9	TBC1 domain family, member 9	-8.18396383091432	0.365987200235819	-13.689606612384	1.23591221345709e-05	0.00792975902612649	3.12234337742495
ENSMUSG00000015090	Ptgds	prostaglandin D2 synthase (brain)	-8.07214547399094	4.36635140132742	-8.09011247478779	0.000227358867906479	0.0139190993589579	1.29738124639813
ENSMUSG00000037053	Azgp1	alpha-2-glycoprotein 1, zinc	-8.00484466021656	-0.199834983325977	-9.1749135634233	0.000114801316690456	0.0108758049205803	1.66282723677947
ENSMUSG00000048782	Insc	INSC spindle orientation adaptor protein	-7.94971062866765	-0.306339624401553	-9.2191169737659	0.000111820621258994	0.0107579981124927	1.67490540091346
ENSMUSG00000060548	Tnfrsf19	tumor necrosis factor receptor superfamily, member 19	-7.88771278423371	0.209483558939654	-8.41504321928721	0.000183802533860267	0.0131304480864545	1.30550826140448
ENSMUSG00000054863	Fam19a5	family with sequence similarity 19, member A5	-7.84605844567207	-0.292364059483156	-14.2803286616783	9.73372885656042e-06	0.00792975902612649	3.20632196109018
ENSMUSG00000025927	Tfap2b	transcription factor AP-2 beta	-7.80709603532555	-0.358769889813844	-9.96974928750409	7.27162772706406e-05	0.00941027840311662	1.98112531894307
ENSMUSG00000038925	E330034G19Rik	RIKEN cDNA E330034G19 gene	-7.76560988121527	-0.397447095984587	-7.6581832780764	0.000305170138529532	0.0159573000476365	0.881831715581132
ENSMUSG00000039716	Dock3	dedicator of cyto-kinesis 3	-7.65296236361193	1.03361247680177	-6.34752154377369	0.000818462437209344	0.0253706088394871	0.0470504816971484
ENSMUSG00000027499	Pkia	protein kinase inhibitor, alpha	-7.65119173464801	0.655173531865982	-9.86684406500292	7.69996654445973e-05	0.00941027840311662	1.96852289739068
ENSMUSG00000004347	Pde1c	phosphodiesterase 1C	-7.63868289210361	0.184656907817255	-7.39600688230719	0.000367401054511583	0.0170829863732237	0.7377040011961
ENSMUSG00000030657	Xylt1	xylosyltransferase 1	-7.63484001141125	1.46219680178353	-8.19553872827247	0.000212030941245125	0.013610247529451	1.25396683382362
ENSMUSG00000051379	Flrt3	fibronectin leucine rich transmembrane protein 3	-7.62984752449317	0.141363922029012	-11.5468272217586	3.21627353263482e-05	0.00875124203981545	2.5422669301573
ENSMUSG00000026768	Itga8	integrin alpha 8	-7.59165071658814	2.30811334473052	-7.09586931023345	0.000457495045137237	0.0189351399949336	0.617426578586157
ENSMUSG00000102697	Pcdhac2	protocadherin alpha subfamily C, 2	-7.53526396380671	-0.413411226672637	-13.4164784212761	1.38478274019938e-05	0.00792975902612649	3.00226663247736
ENSMUSG00000015879	Fam184b	family with sequence similarity 184, member B	-7.51128037106269	0.0310066083021165	-6.50430237171592	0.000721400593092763	0.0237540165805583	0.148830417445311
