RefSeq_id	gene_symbol	gene_name	distance_to_TSS	TSS_strand	chr	start	end	CpG_strand	pvalue	qvalue	difference_of_methylation	number_of_CpGs
NM_008985	Ptprn	protein tyrosine phosphatase, receptor type, N	41	-	chr1	75264168	75264168	+	2.68542485801085e-18	6.18214140402137e-16	35.7358327946563	3
NM_008985	Ptprn	protein tyrosine phosphatase, receptor type, N	-71	-	chr1	75264278	75264278	-	0.000112115899025113	0.00341833584445194	33.0169491525424	3
NM_008985	Ptprn	protein tyrosine phosphatase, receptor type, N	-126	-	chr1	75264333	75264333	-	1.19566605458981e-09	9.2400828338279e-08	34.312537855845	3
NM_001003948	Pid1	phosphotyrosine interaction domain containing 1	319	-	chr1	84284327	84284327	+	2.62020077971334e-12	2.92964434504467e-10	48.8824453304337	7
NM_001003948	Pid1	phosphotyrosine interaction domain containing 1	297	-	chr1	84284349	84284349	-	5.76498359715594e-05	0.001895223826143	28.0859916782247	7
NM_001003948	Pid1	phosphotyrosine interaction domain containing 1	193	-	chr1	84284453	84284453	-	4.15430035201026e-13	5.16928144319955e-11	32.2138522703494	7
NM_001003948	Pid1	phosphotyrosine interaction domain containing 1	114	-	chr1	84284532	84284532	+	0.000181425527221151	0.00519564830497621	37.6465479808945	7
NM_001003948	Pid1	phosphotyrosine interaction domain containing 1	109	-	chr1	84284537	84284537	+	0.000271270657979129	0.00734342448979176	36.7464539007092	7
NM_001003948	Pid1	phosphotyrosine interaction domain containing 1	108	-	chr1	84284538	84284538	-	1.4776169311978e-07	8.21008940994228e-06	45	7
NM_001003948	Pid1	phosphotyrosine interaction domain containing 1	100	-	chr1	84284546	84284546	-	1.62320423125223e-11	1.6356379142145e-09	56.140350877193	7
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	240	-	chr1	87510123	87510123	+	3.80944873236036e-21	1.16588145705565e-18	33.1965832292843	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	118	-	chr1	87510245	87510245	+	2.70979793861371e-06	0.000118915963887587	28.030303030303	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	117	-	chr1	87510246	87510246	-	4.27180900323221e-09	3.02447146394465e-07	32.5705666882137	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	18	-	chr1	87510345	87510345	-	7.82359510569183e-11	7.13993646915975e-09	26.0932619366354	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	7	-	chr1	87510356	87510356	+	1.27299478833831e-13	1.691044861341e-11	27.2662164927358	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	0	-	chr1	87510361	87510361	-	1.21151618510233e-11	1.24211460742422e-09	26.5076340927734	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-3	-	chr1	87510364	87510364	+	5.44972527003305e-14	7.59845560603307e-12	28.0264182350256	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-4	-	chr1	87510365	87510365	-	1.44002856712341e-11	1.46267170303903e-09	26.2613449114639	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-28	-	chr1	87510389	87510389	+	5.56573407463602e-07	2.79131074839942e-05	30.2803440586174	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-34	-	chr1	87510395	87510395	+	1.6772049621352e-07	9.22757560547093e-06	32.8458662235147	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-43	-	chr1	87510404	87510404	+	3.53199916596765e-07	1.84044549655074e-05	31.0936205468103	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-47	-	chr1	87510408	87510408	+	1.73447112872148e-06	7.89615975497225e-05	28.8440970793912	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-52	-	chr1	87510413	87510413	+	9.69748744841017e-08	5.54824054610956e-06	33.0203572912339	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-54	-	chr1	87510415	87510415	+	1.09199087255498e-06	5.17361495908908e-05	29.8611111111111	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-56	-	chr1	87510417	87510417	+	7.18385128367787e-08	4.19464185860402e-06	33.0019378212149	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-58	-	chr1	87510419	87510419	+	3.44924010876794e-06	0.000148281718536259	28.2010801828002	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-61	-	chr1	87510422	87510422	+	3.88348669851454e-06	0.000164937009598707	28.4094812779114	18
NM_019867	Ngef	neuronal guanine nucleotide exchange factor	-67	-	chr1	87510428	87510428	+	7.03517705338255e-06	0.000283516307310979	29.6082949308756	18
NM_019432	Tmem37	transmembrane protein 37	210	-	chr1	120073571	120073571	+	2.77104458669294e-60	1.94437385387594e-56	47.7996308491146	21
NM_019432	Tmem37	transmembrane protein 37	101	-	chr1	120073680	120073680	+	0.000127488663953563	0.00381957381518671	38.7050290135397	21
NM_019432	Tmem37	transmembrane protein 37	100	-	chr1	120073681	120073681	-	3.62102277116541e-76	6.51075553350226e-72	48.4003189792664	21
NM_019432	Tmem37	transmembrane protein 37	93	-	chr1	120073688	120073688	+	0.000255413458412715	0.00697166411093918	41.3389843811318	21
NM_019432	Tmem37	transmembrane protein 37	88	-	chr1	120073693	120073693	+	9.47337481561568e-05	0.00294655400214947	41.7397887870787	21
NM_019432	Tmem37	transmembrane protein 37	86	-	chr1	120073695	120073695	+	0.00014164237552265	0.0041902370577709	41.0821866145768	21
NM_019432	Tmem37	transmembrane protein 37	66	-	chr1	120073715	120073715	+	0.000324361472286201	0.0085369498048218	42.4513426952451	21
NM_019432	Tmem37	transmembrane protein 37	64	-	chr1	120073717	120073717	+	0.000297743027017155	0.00794417789780581	41.0503508877762	21
NM_019432	Tmem37	transmembrane protein 37	61	-	chr1	120073720	120073720	+	0.000248672716087051	0.00681332262649242	42.4265248855413	21
NM_019432	Tmem37	transmembrane protein 37	54	-	chr1	120073727	120073727	+	0.000257217143606827	0.00701469405702848	35.8396871945259	21
NM_019432	Tmem37	transmembrane protein 37	-16	-	chr1	120073795	120073795	-	0.000187803315323087	0.00535165818991587	28.2298293811452	21
NM_019432	Tmem37	transmembrane protein 37	-44	-	chr1	120073823	120073823	-	0.000246408823800763	0.00676009365023802	36.6169002458413	21
NM_019432	Tmem37	transmembrane protein 37	-49	-	chr1	120073828	120073828	-	1.66810917381885e-68	1.9721637907879e-64	40.2044756233516	21
NM_019432	Tmem37	transmembrane protein 37	-61	-	chr1	120073840	120073840	+	1.17517557242407e-28	6.96598846030795e-26	31.1604923659605	21
NM_019432	Tmem37	transmembrane protein 37	-70	-	chr1	120073849	120073849	+	9.62897686913511e-29	5.75511916298836e-26	32.9955511616411	21
NM_019432	Tmem37	transmembrane protein 37	-72	-	chr1	120073851	120073851	+	6.7928590941936e-32	5.40336416215677e-29	33.820645905421	21
NM_019432	Tmem37	transmembrane protein 37	-88	-	chr1	120073867	120073867	+	4.23610921878456e-28	2.40369469529116e-25	30.4824561403509	21
NM_019432	Tmem37	transmembrane protein 37	-95	-	chr1	120073874	120073874	+	8.58826211133439e-33	7.45108224695683e-30	36.1651060803603	21
NM_019432	Tmem37	transmembrane protein 37	-96	-	chr1	120073875	120073875	-	2.08656377997462e-23	7.9157420513188e-21	36.6906474820144	21
NM_019432	Tmem37	transmembrane protein 37	-110	-	chr1	120073889	120073889	-	3.05435265814672e-16	5.57195501805883e-14	28.125	21
NM_019432	Tmem37	transmembrane protein 37	-137	-	chr1	120073916	120073916	-	2.7482456647959e-15	4.49905725618938e-13	33.2800222515819	21
NM_001177628	Slc45a3	solute carrier family 45, member 3	382	+	chr1	131963295	131963295	+	2.58964060042641e-12	2.89772744516136e-10	25.7425742574257	3
NM_001177628	Slc45a3	solute carrier family 45, member 3	383	+	chr1	131963296	131963296	-	1.2402111599423e-11	1.26927259961308e-09	25.5102040816327	3
NM_001177628	Slc45a3	solute carrier family 45, member 3	396	+	chr1	131963309	131963309	-	1.53668769884163e-09	1.16737509860013e-07	25.4375	3
NM_183152	Plk5	polo like kinase 5	-122	+	chr10	80356337	80356337	-	0.000306607701678928	0.00814494368215633	44.1512722202858	5
NM_183152	Plk5	polo like kinase 5	127	+	chr10	80356584	80356584	+	6.86465398109886e-16	1.20272299338665e-13	29.3706293706294	5
NM_183152	Plk5	polo like kinase 5	161	+	chr10	80356618	80356618	-	8.30053469700893e-10	6.57295693539259e-08	33.6240601503759	5
NM_183152	Plk5	polo like kinase 5	179	+	chr10	80356636	80356636	-	6.27018786055047e-12	6.66858051148367e-10	35.9381486093815	5
NM_183152	Plk5	polo like kinase 5	359	+	chr10	80356816	80356816	-	9.71837489578717e-05	0.00301439281220604	25.0510986203373	5
NM_001267593	Kcnj12	potassium inwardly-rectifying channel, subfamily J, member 12	18	+	chr11	61022580	61022580	-	1.11714558305536e-23	4.33332365498504e-21	35.496379923917	3
NM_001267593	Kcnj12	potassium inwardly-rectifying channel, subfamily J, member 12	241	+	chr11	61022803	61022803	+	5.7138495175699e-07	2.85778818573699e-05	25.6054667872576	3
NM_001267593	Kcnj12	potassium inwardly-rectifying channel, subfamily J, member 12	242	+	chr11	61022804	61022804	-	4.57857040587045e-10	3.76484798314071e-08	29.2929292929293	3
NM_008268	Hoxb5	homeobox B5	-339	+	chr11	96303173	96303173	+	1.02447058094421e-20	3.01253954243199e-18	31.5262199213882	9
NM_008268	Hoxb5	homeobox B5	-310	+	chr11	96303202	96303202	+	1.08468200718327e-28	6.45173311404817e-26	35.5105776188652	9
NM_008268	Hoxb5	homeobox B5	-295	+	chr11	96303217	96303217	-	0.000381195812200645	0.00976246725408294	55.0082928562966	9
NM_008268	Hoxb5	homeobox B5	-288	+	chr11	96303224	96303224	-	0.000190045235250839	0.00540661847609363	56.3826031134649	9
NM_008268	Hoxb5	homeobox B5	-283	+	chr11	96303229	96303229	-	0.000159563248338441	0.00464931728535529	56.1485039643498	9
NM_008268	Hoxb5	homeobox B5	-281	+	chr11	96303231	96303231	-	6.44657574127361e-05	0.00209535138893274	54.1738721721162	9
NM_008268	Hoxb5	homeobox B5	-275	+	chr11	96303237	96303237	-	6.70499091742953e-05	0.00216913357100806	45.9811985898942	9
NM_008268	Hoxb5	homeobox B5	-268	+	chr11	96303244	96303244	-	0.000248450380147488	0.00680831158311083	36.9640778028902	9
NM_008268	Hoxb5	homeobox B5	-265	+	chr11	96303247	96303247	-	0.000300946206793595	0.00801972585373239	43.5948538751046	9
NM_001110778	Adam11	a disintegrin and metallopeptidase domain 11	120	+	chr11	102761553	102761553	-	0.000303017648750321	0.00806496566100092	26.8376068376068	3
NM_001110778	Adam11	a disintegrin and metallopeptidase domain 11	139	+	chr11	102761572	102761572	-	2.15627105113947e-06	9.64394945812873e-05	30.2874865799833	3
NM_001110778	Adam11	a disintegrin and metallopeptidase domain 11	141	+	chr11	102761574	102761574	-	2.5709944815978e-06	0.000113285569255674	33.5485413677666	3
NM_001316666	Kcnk10	potassium channel, subfamily K, member 10	-202	-	chr12	98574913	98574913	-	6.41916315636692e-17	1.26979780351511e-14	33.3131537349073	3
NM_001316664	Kcnk10	potassium channel, subfamily K, member 10	83	-	chr12	98575045	98575045	-	1.34635843254428e-24	5.64072392602028e-22	56.9480931243772	3
NM_001316664	Kcnk10	potassium channel, subfamily K, member 10	77	-	chr12	98575051	98575051	-	6.21968563217121e-10	5.02148418483137e-08	29.4276094276094	3
NM_175493	Gpr68	G protein-coupled receptor 68	54	-	chr12	100908145	100908145	-	0.00037981234486572	0.00973396870460959	63.1389673773439	3
NM_175493	Gpr68	G protein-coupled receptor 68	41	-	chr12	100908158	100908158	-	6.61156959335773e-52	2.42816436681198e-48	66.0732625813078	3
NM_175493	Gpr68	G protein-coupled receptor 68	14	-	chr12	100908185	100908185	-	3.55515123945094e-19	8.99270668820901e-17	36.118542554844	3
NM_172152	Slc24a4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	-495	+	chr12	102128924	102128924	-	3.10314658484274e-13	3.92066175140242e-11	32.5422582826234	5
NM_172152	Slc24a4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	-446	+	chr12	102128973	102128973	-	1.04651385358758e-11	1.08194182952901e-09	28.5016483421648	5
NM_172152	Slc24a4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	-439	+	chr12	102128980	102128980	+	5.96882233120392e-18	1.33043809994937e-15	38.7085137085137	5
NM_172152	Slc24a4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	-283	+	chr12	102129136	102129136	-	9.38368600354031e-15	1.44130470743344e-12	26.7265235840354	5
NM_172152	Slc24a4	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4	-37	+	chr12	102129382	102129382	-	5.59696218058137e-06	0.000230013733617228	35.138592750533	5
NM_010317	Gng4	guanine nucleotide binding protein (G protein), gamma 4	-21	+	chr13	13784286	13784286	+	8.63223344734051e-09	5.83683950065222e-07	35.3954198473282	4
NM_010317	Gng4	guanine nucleotide binding protein (G protein), gamma 4	198	+	chr13	13784503	13784503	+	8.49722513764294e-05	0.00267500470229062	33.7320574162679	4
NM_010317	Gng4	guanine nucleotide binding protein (G protein), gamma 4	226	+	chr13	13784531	13784531	-	1.70008509655353e-08	1.09629164029792e-06	40.3195488721804	4
NM_010317	Gng4	guanine nucleotide binding protein (G protein), gamma 4	227	+	chr13	13784532	13784532	+	4.49092467719603e-08	2.71196533313495e-06	32.3529411764706	4
NM_001037914	Mcidas	multiciliate differentiation and DNA synthesis associated cell cycle protein	-229	+	chr13	112993639	112993639	-	1.53933132414229e-21	4.91141019879608e-19	56.3943541488452	3
