ENSEMBL	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSMUSG00000032085	Tagln	transgelin	-12.2648473177714	4.18965317511226	-21.3574276371105	5.62674347416457e-09	9.19958278763985e-07	10.3249913018867
ENSMUSG00000023043	Krt18	keratin 18	-12.0115635926672	3.12844154282854	-22.9437555037762	2.99777510277237e-09	7.88290745722252e-07	10.731488895138
ENSMUSG00000026840	Lamc3	laminin gamma 3	-11.6892452163086	2.96588143026732	-14.1643510392571	1.99999196387398e-07	5.97010588177187e-06	7.6303766620702
ENSMUSG00000041559	Fmod	fibromodulin	-11.1369845952472	3.21845429565957	-18.7093087140587	1.79326572590997e-08	1.48981491723039e-06	9.52902298685374
ENSMUSG00000021950	Anxa8	annexin A8	-11.1138427178684	2.14969484365353	-12.2865306656616	6.73420493829893e-07	1.46948449848229e-05	6.57384714624951
ENSMUSG00000048376	F2r	coagulation factor II (thrombin) receptor	-11.1008921245943	2.14480524983296	-24.4553587434339	1.70911537727672e-09	7.29137079513156e-07	11.0719268550198
ENSMUSG00000026185	Igfbp5	insulin-like growth factor binding protein 5	-11.0447937869841	2.11667571073733	-15.5085184357767	9.15752471270989e-08	3.5475118908141e-06	8.27735120470035
ENSMUSG00000046743	Fat4	FAT atypical cadherin 4	-11.0124830128036	2.10089934986202	-21.3387562879406	5.67010758428966e-09	9.19958278763985e-07	10.326097390104
ENSMUSG00000031375	Bgn	biglycan	-10.9901905487403	3.67358527127318	-27.1457546013303	6.80313488058284e-10	6.87325750423176e-07	11.5820944853669
ENSMUSG00000020241	Col6a2	collagen, type VI, alpha 2	-10.9591440822478	2.84721347350436	-18.8292678891076	1.69591530232012e-08	1.46064854037323e-06	9.57004222123564
ENSMUSG00000026576	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	-10.9522994450336	2.07073635767702	-25.4266623669385	1.21226125890257e-09	6.87325750423176e-07	11.2688250344769
ENSMUSG00000039323	Igfbp2	insulin-like growth factor binding protein 2	-10.8814694554877	2.80803770354178	-15.4657524799554	9.37869589466412e-08	3.58286966989786e-06	8.25803390657411
ENSMUSG00000026579	F5	coagulation factor V	-10.8472532962689	2.01955324186262	-15.8535320431024	7.57057404713108e-08	3.19283751327171e-06	8.43020679138728
ENSMUSG00000027656	Wisp2	WNT1 inducible signaling pathway protein 2	-10.8465928100674	2.01855336468699	-18.6255409413458	1.86491912296528e-08	1.49529648981478e-06	9.50086179433333
ENSMUSG00000035783	Acta2	actin, alpha 2, smooth muscle, aorta	-10.8197761361048	3.46691244554239	-13.3314766511911	3.36119805362291e-07	8.77922014346849e-06	7.18573571270157
ENSMUSG00000031451	Gas6	growth arrest specific 6	-10.7026959903566	3.00219605021385	-20.9046188777734	6.79078860179171e-09	9.8580805902431e-07	10.206390183401
ENSMUSG00000025608	Podxl	podocalyxin-like	-10.644612979998	2.44437928808724	-22.7890947385489	3.18156864135063e-09	7.88290745722252e-07	10.6965857850576
ENSMUSG00000075602	Ly6a	lymphocyte antigen 6 complex, locus A	-10.6050324664831	1.89815644575416	-22.910592314976	3.03616959470362e-09	7.88290745722252e-07	10.723404582575
ENSMUSG00000079018	Ly6c1	lymphocyte antigen 6 complex, locus C1	-10.5807159452971	1.88729899070225	-17.0285975715308	4.07181472854746e-08	2.24939047432518e-06	8.91589394164458
ENSMUSG00000024598	Fbn2	fibrillin 2	-10.5301431271417	1.85725395635405	-23.917124869322	2.07940022593698e-09	7.34530710487926e-07	10.953039395593
ENSMUSG00000058914	C1qtnf3	C1q and tumor necrosis factor related protein 3	-10.5039511490938	2.37486126537791	-18.8983613510152	1.64251416162159e-08	1.43366536727363e-06	9.59314123219171
ENSMUSG00000031596	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2	-10.48389434104	1.83760537010321	-23.7845739151715	2.18372555507251e-09	7.34530710487926e-07	10.9234094844561
ENSMUSG00000034981	Parm1	prostate androgen-regulated mucin-like protein 1	-10.4231800262214	2.33580509320997	-11.6128228737977	1.08483256071574e-06	2.03998026454614e-05	6.14318538892391
ENSMUSG00000008999	Bmp7	bone morphogenetic protein 7	-10.4015565030489	2.56862038528787	-19.0286906408313	1.54678848394741e-08	1.37624257949153e-06	9.6364408921785
ENSMUSG00000020674	Pxdn	peroxidasin	-10.3839069141005	2.31468874332045	-23.8105848188424	2.16280356916539e-09	7.34530710487926e-07	10.9319269882352
ENSMUSG00000022587	Ly6e	lymphocyte antigen 6 complex, locus E	-10.3595912273661	2.30218567200532	-25.6545951942579	1.12045659191634e-09	6.87325750423176e-07	11.31276030373
ENSMUSG00000020902	Ntn1	netrin 1	-10.3297185403968	1.7584272511832	-26.7923151387384	7.63831474842171e-10	6.87325750423176e-07	11.5174024741521
ENSMUSG00000050335	Lgals3	lectin, galactose binding, soluble 3	-10.3022867118581	2.27421051021759	-18.66973886107	1.82672513043143e-08	1.49529648981478e-06	9.51582795226858
ENSMUSG00000030849	Fgfr2	fibroblast growth factor receptor 2	-10.2890256760184	1.73965200267792	-25.7920310608286	1.0688477477495e-09	6.87325750423176e-07	11.3338594809567
ENSMUSG00000063430	Wscd2	WSC domain containing 2	-10.2117929606708	2.22780016603311	-21.2824953665005	5.80303224640092e-09	9.24442172048154e-07	10.3098248286793
ENSMUSG00000051339	2900026A02Rik	RIKEN cDNA 2900026A02 gene	-10.1634383695355	2.20465856898231	-23.5657559731176	2.36890510770678e-09	7.41771755240021e-07	10.8759884890084
ENSMUSG00000023046	Igfbp6	insulin-like growth factor binding protein 6	-10.1468495829071	2.72397466290076	-23.878587870467	2.1091488977635e-09	7.34530710487926e-07	10.9476552414369
ENSMUSG00000032420	Nt5e	5' nucleotidase, ecto	-10.1212036043713	1.65555080094255	-27.8271187608083	5.46443107663808e-10	6.87325750423176e-07	11.6897803769568
ENSMUSG00000094338	Hist1h2bl	histone cluster 1, H2bl	-10.1066772940383	1.64311560172079	-18.4902035152276	1.98749199141996e-08	1.50687402999243e-06	9.44984195206077
ENSMUSG00000028364	Tnc	tenascin C	-10.0663826037365	3.21149170762776	-17.8241838228089	2.73669583386868e-08	1.80127112319096e-06	9.21855138864845
ENSMUSG00000030218	Mgp	matrix Gla protein	-10.0631830774264	2.15469351264572	-22.906983231564	3.04038082413726e-09	7.88290745722252e-07	10.7224363821627
ENSMUSG00000038463	Olfml2b	olfactomedin-like 2B	-10.0016449841899	1.59954524295114	-18.2511021257164	2.22649461043821e-08	1.56931851446933e-06	9.36578002423433
ENSMUSG00000074397	Foxr1	forkhead box R1	-9.96754734015437	2.10581251797047	-21.6424436813868	5.00849850344301e-09	8.42343937329056e-07	10.4046600534916
ENSMUSG00000031410	Nxf7	nuclear RNA export factor 7	-9.95127298239083	1.57156467985201	-25.7026941812789	1.10208654439047e-09	6.87325750423176e-07	11.3113853362064
ENSMUSG00000006205	Htra1	HtrA serine peptidase 1	-9.91671784932679	3.13698089570737	-14.5663339222182	1.572338102624e-07	4.97342081956138e-06	7.83297116608593
ENSMUSG00000028369	Svep1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	-9.87418028598742	2.06320589760456	-15.1071786195252	1.14844838513314e-07	4.08356311099165e-06	8.09119194106534
ENSMUSG00000002020	Ltbp2	latent transforming growth factor beta binding protein 2	-9.86301770996069	2.58287442489311	-9.27062646176661	7.04758634211448e-06	8.3715127686564e-05	4.38366638341785
ENSMUSG00000058773	Hist1h1b	histone cluster 1, H1b	-9.81957639437383	2.96757498725302	-14.5679670102206	1.57082187393103e-07	4.97342081956138e-06	7.83381176165026
ENSMUSG00000034161	Scx	scleraxis	-9.78758934441097	1.48587661297484	-25.9841434732755	1.00107619665118e-09	6.87325750423176e-07	11.3607923796493
ENSMUSG00000001119	Col6a1	collagen, type VI, alpha 1	-9.78021626423996	4.40825289949103	-23.9542232744804	2.05120161887643e-09	7.34530710487926e-07	11.1778940621928
ENSMUSG00000028782	Adgrb2	adhesion G protein-coupled receptor B2	-9.77187803724746	2.00441520161931	-15.4847184077997	9.27988828463783e-08	3.56487296193427e-06	8.26427380577467
ENSMUSG00000049866	Arl4c	ADP-ribosylation factor-like 4C	-9.65482502073092	1.94913910242156	-20.6055633630586	7.70538559810086e-09	9.93753447248733e-07	10.1162978466959
ENSMUSG00000027220	Syt13	synaptotagmin XIII	-9.59372668759272	2.44476017300525	-14.8770118083433	1.31102126080068e-07	4.43144465875053e-06	7.98307085975737
ENSMUSG00000114279	Hist1h2bm	histone cluster 1, H2bm	-9.53771642410493	2.66420230768864	-16.6745422111033	4.88708137580698e-08	2.50804616393418e-06	8.77561225598937
ENSMUSG00000020218	Wif1	Wnt inhibitory factor 1	-9.50524229774406	1.87634327473266	-22.0438946427508	4.26174791703628e-09	8.08786606277891e-07	10.5038309018182
ENSMUSG00000048126	Col6a3	collagen, type VI, alpha 3	-9.49350913299773	3.20574353468761	-11.1889916396419	1.48312147818319e-06	2.58020365884648e-05	5.85808023299985
ENSMUSG00000044303	Cdkn2a	cyclin-dependent kinase inhibitor 2A	-9.48190066063601	1.86448403016244	-19.2705748567763	1.38509886237077e-08	1.30789671798249e-06	9.70852705124881
ENSMUSG00000034463	Scara3	scavenger receptor class A, member 3	-9.46818680015724	1.32992370428346	-24.8018271146042	1.50976084629585e-09	7.29137079513156e-07	11.1213976306094
ENSMUSG00000012428	Steap4	STEAP family member 4	-9.44849924941458	1.32188839158101	-18.2944578941701	2.18088969503464e-08	1.56931851446933e-06	9.3728154732276
ENSMUSG00000067889	Sptbn2	spectrin beta, non-erythrocytic 2	-9.43882792915738	1.31260330148058	-26.3542498208924	8.83557269746268e-10	6.87325750423176e-07	11.4188507843014
ENSMUSG00000037060	Cavin3	caveolae associated 3	-9.41535158771858	1.3004390973184	-25.4136478515437	1.21774978374772e-09	6.87325750423176e-07	11.2413875787134
ENSMUSG00000016024	Lbp	lipopolysaccharide binding protein	-9.41134861793826	2.84925199495674	-11.3297762675082	1.33526247077302e-06	2.38750426283887e-05	5.95315647637861
ENSMUSG00000025324	Atp10a	ATPase, class V, type 10A	-9.39798059320462	1.29653851175277	-22.6648958085114	3.33823614265408e-09	7.88290745722252e-07	10.6446266252499
ENSMUSG00000057719	Sh3rf2	SH3 domain containing ring finger 2	-9.38387781995964	1.28432574064901	-22.756083997162	3.22239719240023e-09	7.88290745722252e-07	10.6658495916393
ENSMUSG00000057604	Lmcd1	LIM and cysteine-rich domains 1	-9.36733700434828	1.27795151843741	-26.8814881568696	7.41735070379198e-10	6.87325750423176e-07	11.5099409711772
ENSMUSG00000026655	Fam107b	family with sequence similarity 107, member B	-9.36006331550602	1.80160520270255	-20.2594446536722	8.93859970426378e-09	1.03590108001262e-06	10.0116592650857
ENSMUSG00000021070	Bdkrb2	bradykinin receptor, beta 2	-9.35513382970645	1.80412798498598	-16.6059659524479	5.06506566113519e-08	2.53884063007409e-06	8.74215717311441
ENSMUSG00000028661	Epha8	Eph receptor A8	-9.35337642366404	1.26227411926176	-16.6474662145705	4.95651299982868e-08	2.51306142575873e-06	8.75137926533778
ENSMUSG00000042655	Fam159b	family with sequence similarity 159, member B	-9.35030112057585	1.26421651005015	-16.1897299937347	6.31245356106281e-08	2.8731038633867e-06	8.56239490130876
ENSMUSG00000037035	Inhbb	inhibin beta-B	-9.34482298145998	1.2717251304991	-18.4889976424754	1.98862354766603e-08	1.50687402999243e-06	9.43805746162959
ENSMUSG00000001506	Col1a1	collagen, type I, alpha 1	-9.3285314691188	5.98171973567205	-28.8659770310398	3.951443726658e-10	6.87325750423176e-07	12.6618925998325
ENSMUSG00000020900	Myh10	myosin, heavy polypeptide 10, non-muscle	-9.32740983321608	1.7881373958261	-19.0540994211491	1.52885630576679e-08	1.37624257949153e-06	9.63631546812601
ENSMUSG00000025491	Ifitm1	interferon induced transmembrane protein 1	-9.31699600048193	1.25603947572569	-20.7695700587586	7.18797030850085e-09	9.88026767610551e-07	10.1472979382434
ENSMUSG00000007097	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	-9.26978231172873	1.23551697289015	-20.6758854273509	7.47863305888613e-09	9.88026767610551e-07	10.1196014798999
ENSMUSG00000037860	Aim2	absent in melanoma 2	-9.25568604503696	1.22347258348889	-25.3893288145218	1.2280798060947e-09	6.87325750423176e-07	11.2309537139961
ENSMUSG00000051817	Sox12	SRY (sex determining region Y)-box 12	-9.25469949313283	1.21605144552311	-22.7692930493012	3.20599048882823e-09	7.88290745722252e-07	10.6645604702494
ENSMUSG00000022865	Cxadr	coxsackie virus and adenovirus receptor	-9.23357820014874	1.20899757685311	-22.3156695980718	3.82662178224397e-09	8.08786606277891e-07	10.5535729723403
ENSMUSG00000079481	Nhsl2	NHS-like 2	-9.21587353559948	1.73228872832223	-19.0651914406	1.52110056311413e-08	1.37624257949153e-06	9.63830992229319
ENSMUSG00000028766	Alpl	alkaline phosphatase, liver/bone/kidney	-9.20513587165791	3.5159957656354	-16.38815886267	5.67978817799377e-08	2.67479106118579e-06	8.69818991185147
ENSMUSG00000022037	Clu	clusterin	-9.16149759220613	4.3350917602464	-16.5312761041789	5.26713645049605e-08	2.57086139999808e-06	8.85268486340023
ENSMUSG00000032334	Loxl1	lysyl oxidase-like 1	-9.14337026852173	1.17610120698957	-17.1522530220559	3.82359804557057e-08	2.19713502693599e-06	8.94730302572594
ENSMUSG00000047139	Cd24a	CD24a antigen	-9.09965729497691	2.4437554162552	-15.7265537895541	8.11613446773521e-08	3.27279562703323e-06	8.37283772626536
ENSMUSG00000056665	Them6	thioesterase superfamily member 6	-9.09527569149137	1.13703597944964	-23.5082715258895	2.42039946238858e-09	7.41771755240021e-07	10.8300547614157
ENSMUSG00000007805	Twist2	twist basic helix-loop-helix transcription factor 2	-9.06269633050481	1.12518190977259	-24.7054364587304	1.56249799816972e-09	7.29137079513156e-07	11.0860728476305
ENSMUSG00000101355	Hist1h3h	histone cluster 1, H3h	-9.01688302330185	1.09495776831268	-20.0580919965236	9.75588259534878e-09	1.06428998675425e-06	9.9306800661353
ENSMUSG00000101355	Gm12260	predicted gene 12260	-9.01688302330185	1.09495776831268	-20.0580919965236	9.75588259534878e-09	1.06428998675425e-06	9.9306800661353
ENSMUSG00000042249	Grk3	G protein-coupled receptor kinase 3	-9.01548196985587	1.11226290276745	-17.7576264016622	2.82735084853013e-08	1.83061011981592e-06	9.17138247856162
ENSMUSG00000039476	Prrx2	paired related homeobox 2	-8.9945842606046	1.08595152684239	-21.7103899794883	4.87249867879874e-09	8.42343937329056e-07	10.3907121497555
ENSMUSG00000061013	Mkx	mohawk homeobox	-8.96075833854026	1.07834449640899	-23.0828699655325	2.84248595741284e-09	7.88290745722252e-07	10.7276872258634
ENSMUSG00000021765	Fst	follistatin	-8.94512414307886	1.07063813796144	-16.9893942008976	4.15419910856673e-08	2.25691877333322e-06	8.87891302861374
ENSMUSG00000071516	Hist1h2ai	histone cluster 1, H2ai	-8.9376296855415	1.58289474233674	-16.1641251036205	6.39963407159071e-08	2.90151975443095e-06	8.55333547696673
ENSMUSG00000095217	Hist1h2bn	histone cluster 1, H2bn	-8.93530750977138	3.13717342254482	-18.4513928314485	2.02427199395313e-08	1.51721386242433e-06	9.45794996909875
ENSMUSG00000020866	Cacna1g	calcium channel, voltage-dependent, T type, alpha 1G subunit	-8.90687298459534	1.05477141709102	-18.3616371201108	2.11225816491328e-08	1.55776215787802e-06	9.38265919093675
ENSMUSG00000001493	Meox1	mesenchyme homeobox 1	-8.89605198703734	1.03136070468524	-15.9971757879723	7.00187718275531e-08	3.03232587392733e-06	8.47098317086791
ENSMUSG00000048402	Gli2	GLI-Kruppel family member GLI2	-8.79173460240342	1.51918858642806	-21.4560140112313	5.4037947653318e-09	8.97876308538444e-07	10.3354395344039
ENSMUSG00000042216	Sgsm1	small G protein signaling modulator 1	-8.7832626789954	0.975374371021508	-17.8098713256573	2.75591477770497e-08	1.80127112319096e-06	9.18222159618507
ENSMUSG00000078302	Foxd1	forkhead box D1	-8.76729585499298	0.968629769307242	-19.6041822103508	1.19202346023987e-08	1.20876437795353e-06	9.78324098457855
ENSMUSG00000038402	Foxf2	forkhead box F2	-8.76673098139167	0.966388319843407	-18.5646354713049	1.91901057044008e-08	1.50577230471365e-06	9.44619330562959
ENSMUSG00000091387	Gcnt4	glucosaminyl (N-acetyl) transferase 4, core 2 (beta-1,6-N-acetylglucosaminyltransferase)	-8.76212656831235	0.980055388366201	-22.6675027371894	3.33486099354121e-09	7.88290745722252e-07	10.6204049053829
ENSMUSG00000095180	Rhox5	reproductive homeobox 5	-8.74396236407105	3.42827620674631	-21.6763264518874	4.94016001564809e-09	8.42343937329056e-07	10.5096508527399
ENSMUSG00000002265	Peg3	paternally expressed 3	-8.7385138871527	1.48892274556089	-12.0374734171541	8.00992158006249e-07	1.64905751557518e-05	6.41211358325166
ENSMUSG00000102918	Pcdhgc3	protocadherin gamma subfamily C, 3	-8.71801746138863	2.41635514071921	-15.3112762456876	1.02283191483559e-07	3.77162431483894e-06	8.18465967684024
ENSMUSG00000022505	Emp2	epithelial membrane protein 2	-8.70952487177971	3.02568911276629	-22.5327137169191	3.51444508497706e-09	7.94552658474076e-07	10.6562863485456
ENSMUSG00000069305	Hist1h4n	histone cluster 1, H4n	-8.70284308244402	1.99799818698884	-17.2322105792262	3.67204901777843e-08	2.13676067528196e-06	8.98824104581692
ENSMUSG00000024238	Zeb1	zinc finger E-box binding homeobox 1	-8.68824375871578	0.953667178766954	-14.52577003479	1.61052451370493e-07	5.05939489031997e-06	7.79241862354424
ENSMUSG00000032243	Itga11	integrin alpha 11	-8.66854861671234	0.953258221098394	-9.52161172489497	5.66319641022256e-06	7.09365501302264e-05	4.59171550526678
ENSMUSG00000022594	Lynx1	Ly6/neurotoxin 1	-8.65255772652616	1.6974850811321	-16.8920690960691	4.36682954075539e-08	2.32521027785937e-06	8.85092784719033
ENSMUSG00000027204	Fbn1	fibrillin 1	-8.60583366873141	3.77628106489865	-21.6542448601688	4.98457821623776e-09	8.42343937329056e-07	10.5878249751427
ENSMUSG00000023915	Tnfrsf21	tumor necrosis factor receptor superfamily, member 21	-8.59970539745214	0.898379560322633	-17.0101930975583	4.11026321173189e-08	2.24939047432518e-06	8.87678546121068
ENSMUSG00000057000	Nxf3	nuclear RNA export factor 3	-8.58414966769057	1.95086859812423	-13.112059992637	3.87291000072684e-07	9.72883457559632e-06	7.05814385933054
ENSMUSG00000037025	Foxa2	forkhead box A2	-8.57123041811006	0.883816462887656	-15.1535374422612	1.11848276765278e-07	4.04496329958895e-06	8.0882584880753
ENSMUSG00000054626	Xlr	X-linked lymphocyte-regulated	-8.56410764155291	1.40990995988606	-18.0946508691617	2.40007621503705e-08	1.63858668720673e-06	9.29442971848212
ENSMUSG00000030513	Pcsk6	proprotein convertase subtilisin/kexin type 6	-8.56408664027677	0.87344691470846	-14.7223735888278	1.43451970747479e-07	4.68802400137082e-06	7.88433664336497
ENSMUSG00000070576	Mn1	meningioma 1	-8.56050824480916	1.9296888885132	-20.0583697714795	9.75469948635916e-09	1.06428998675425e-06	9.94714940327269
ENSMUSG00000026620	Mark1	MAP/microtubule affinity regulating kinase 1	-8.52817855328738	0.862899095010616	-22.0324992893841	4.28115599001421e-09	8.08786606277891e-07	10.45202002899
ENSMUSG00000036957	Lrfn3	leucine rich repeat and fibronectin type III domain containing 3	-8.50659616071886	0.835093980627267	-17.948309867559	2.57611530019118e-08	1.72462165557944e-06	9.22174101282453
ENSMUSG00000023443	Esx1	extraembryonic, spermatogenesis, homeobox 1	-8.50610610032729	1.37081776220133	-17.6284505580049	3.01295627867448e-08	1.87450446667239e-06	9.12365112786691
ENSMUSG00000043183	Simc1	SUMO-interacting motifs containing 1	-8.48879786812798	0.8412967142713	-20.542574825922	7.9149825544971e-09	9.93753447248733e-07	10.050537295127
ENSMUSG00000010080	Epn3	epsin 3	-8.48593530104207	0.839522428268673	-23.6010625475973	2.33788119611507e-09	7.41771755240021e-07	10.8199148127701
ENSMUSG00000039316	Rftn1	raftlin lipid raft linker 1	-8.43603958770641	0.814041075709959	-21.0967811028021	6.26697295227076e-09	9.41148937861487e-07	10.2018540542124
